,Average CO2 emission factor (tCO2/toe),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Back to list of tables
Globally/Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2019 - 2020 (%) ,2000 - 2020 (%/year) ,
World,2.32,2.32,2.31,2.30,2.29,2.29,2.28,2.30,2.30,2.26,2.28,2.30,2.28,2.30,2.30,2.32,2.32,2.34,2.33,2.32,2.33,2.36,2.36,2.37,2.34,2.33,2.31,2.30,2.28,2.27,2.25,-0.9,-0.1,
OECD,2.47,2.45,2.44,2.42,2.42,2.40,2.41,2.44,2.43,2.40,2.41,2.42,2.39,2.39,2.37,2.36,2.35,2.36,2.34,2.30,2.32,2.32,2.31,2.30,2.29,2.27,2.25,2.24,2.23,2.18,2.11,-3.1,-0.7,
G7,2.47,2.44,2.42,2.41,2.40,2.38,2.39,2.43,2.43,2.40,2.40,2.42,2.37,2.39,2.36,2.35,2.33,2.35,2.32,2.28,2.31,2.31,2.31,2.30,2.29,2.25,2.24,2.21,2.20,2.17,2.11,-2.8,-0.6,
BRICS,2.36,2.45,2.47,2.46,2.47,2.49,2.46,2.46,2.51,2.44,2.48,2.51,2.53,2.56,2.63,2.68,2.72,2.72,2.72,2.74,2.72,2.76,2.77,2.81,2.76,2.75,2.72,2.71,2.67,2.65,2.63,-0.7,0.3,
Europe,2.48,2.47,2.45,2.40,2.39,2.35,2.35,2.32,2.31,2.29,2.29,2.28,2.28,2.28,2.26,2.25,2.25,2.26,2.21,2.18,2.17,2.17,2.16,2.13,2.12,2.12,2.10,2.09,2.08,2.03,1.94,-4.1,-0.8,
European Union,2.46,2.45,2.44,2.40,2.39,2.35,2.35,2.32,2.30,2.28,2.28,2.26,2.26,2.26,2.23,2.22,2.21,2.21,2.17,2.14,2.13,2.13,2.11,2.09,2.07,2.08,2.07,2.06,2.04,1.98,1.89,-4.4,-0.9,
Belgium,2.22,2.22,2.17,2.19,2.16,2.14,2.13,2.06,2.07,1.99,2.00,2.01,1.98,1.96,1.95,1.91,1.92,1.89,1.89,1.89,1.91,1.89,1.85,1.80,1.78,1.90,1.73,1.73,1.84,1.78,1.77,-1.0,-0.6,
Czechia,2.96,3.00,2.95,3.06,3.04,3.02,2.96,2.88,2.84,2.86,2.98,2.88,2.75,2.72,2.70,2.64,2.60,2.66,2.60,2.59,2.52,2.53,2.47,2.38,2.38,2.40,2.47,2.40,2.37,2.29,2.18,-5.1,-1.6,
France,1.63,1.65,1.63,1.53,1.54,1.53,1.52,1.52,1.57,1.55,1.51,1.50,1.47,1.45,1.43,1.44,1.43,1.41,1.38,1.38,1.36,1.32,1.34,1.33,1.26,1.27,1.30,1.31,1.30,1.28,1.25,-2.2,-0.9,
Germany,2.30,2.28,2.22,2.19,2.14,2.08,2.06,2.00,1.99,1.93,1.93,1.91,1.92,1.92,1.85,1.81,1.77,1.79,1.78,1.79,1.76,1.82,1.85,1.86,1.88,1.87,1.83,1.77,1.75,1.62,1.54,-5.3,-1.1,
Italy,2.71,2.65,2.66,2.64,2.64,2.58,2.56,2.55,2.54,2.54,2.51,2.49,2.52,2.49,2.51,2.48,2.48,2.45,2.42,2.32,2.31,2.34,2.32,2.21,2.23,2.20,2.20,2.14,2.15,2.13,2.01,-5.4,-1.1,
Netherlands,2.46,2.47,2.46,2.48,2.48,2.45,2.45,2.45,2.44,2.41,2.40,2.40,2.40,2.35,2.36,2.35,2.32,2.33,2.35,2.31,2.31,2.32,2.29,2.32,2.37,2.44,2.39,2.34,2.29,2.24,2.17,-3.2,-0.5,
Poland,3.45,3.51,3.50,3.42,3.52,3.41,3.41,3.35,3.33,3.33,3.33,3.30,3.26,3.31,3.33,3.29,3.26,3.26,3.17,3.17,3.16,3.10,3.14,3.10,3.08,3.10,3.07,3.06,3.01,2.92,2.85,-2.3,-0.8,
Portugal,2.37,2.43,2.50,2.46,2.48,2.41,2.34,2.33,2.36,2.47,2.43,2.39,2.45,2.34,2.33,2.39,2.30,2.22,2.20,2.21,2.06,2.10,2.17,2.09,2.08,2.19,2.18,2.28,2.18,2.05,1.94,-5.3,-1.1,
Romania,2.63,2.65,2.76,2.60,2.64,2.51,2.55,2.51,2.39,2.32,2.41,2.54,2.44,2.41,2.43,2.41,2.41,2.35,2.32,2.24,2.13,2.28,2.26,2.18,2.18,2.18,2.13,2.13,2.13,2.08,1.97,-5.4,-1.0,
Spain,2.28,2.29,2.36,2.31,2.27,2.30,2.23,2.28,2.25,2.33,2.36,2.30,2.37,2.34,2.35,2.39,2.34,2.40,2.28,2.20,2.10,2.16,2.13,2.06,2.08,2.14,2.05,2.07,2.04,1.97,1.79,-9.0,-1.4,
Sweden,1.11,1.08,1.15,1.13,1.11,1.09,1.18,1.10,1.09,1.09,1.07,1.03,1.03,1.08,1.01,0.98,1.02,0.98,0.97,0.97,0.97,0.90,0.84,0.82,0.82,0.88,0.82,0.80,0.74,0.74,0.69,-6.8,-2.2,
United Kingdom,2.70,2.65,2.62,2.52,2.46,2.41,2.41,2.37,2.38,2.36,2.38,2.43,2.40,2.42,2.45,2.43,2.48,2.52,2.47,2.39,2.38,2.36,2.41,2.38,2.30,2.21,2.12,2.08,2.05,2.04,1.97,-3.3,-1.0,
Norway,1.32,1.21,1.32,1.32,1.42,1.37,1.45,1.44,1.45,1.43,1.26,1.28,1.35,1.35,1.39,1.36,1.36,1.35,1.15,1.18,1.28,1.42,1.26,1.18,1.34,1.32,1.34,1.26,1.32,1.36,1.29,-4.8,0.1,
Turkey,2.58,2.65,2.65,2.58,2.59,2.59,2.61,2.62,2.59,2.61,2.66,2.61,2.61,2.61,2.62,2.61,2.63,2.68,2.71,2.72,2.59,2.62,2.60,2.56,2.65,2.55,2.55,2.63,2.66,2.58,2.52,-2.6,-0.3,
CIS,2.58,2.56,2.57,2.52,2.52,2.51,2.47,2.44,2.46,2.45,2.45,2.42,2.40,2.40,2.37,2.38,2.40,2.37,2.38,2.37,2.36,2.38,2.34,2.35,2.30,2.35,2.28,2.27,2.23,2.25,2.26,0.5,-0.4,
Kazakhstan,3.22,3.24,3.16,3.24,3.31,3.21,3.22,3.12,3.20,3.15,3.41,3.27,3.17,3.37,2.96,3.16,3.00,2.93,3.22,3.14,3.14,3.00,3.17,3.08,3.10,3.51,3.28,3.25,2.75,2.70,2.94,8.8,-0.7,
Russia,2.49,2.51,2.54,2.46,2.48,2.49,2.48,2.45,2.48,2.47,2.46,2.44,2.43,2.41,2.40,2.38,2.40,2.36,2.33,2.33,2.34,2.35,2.27,2.27,2.24,2.30,2.20,2.21,2.20,2.24,2.21,-1.1,-0.5,
Ukraine,2.74,2.59,2.57,2.58,2.51,2.54,2.34,2.33,2.34,2.33,2.31,2.26,2.22,2.22,2.13,2.21,2.23,2.26,2.26,2.25,2.09,2.30,2.33,2.36,2.19,2.07,2.10,1.98,2.01,1.95,1.96,0.6,-0.8,
Uzbekistan,2.52,2.50,2.47,2.39,2.35,2.33,2.28,2.29,2.39,2.30,2.38,2.38,2.35,2.29,2.37,2.36,2.44,2.43,2.45,2.46,2.45,2.47,2.47,2.51,2.51,2.48,2.49,2.46,2.33,2.35,2.42,2.9,0.1,
America,2.38,2.34,2.34,2.35,2.34,2.35,2.37,2.45,2.45,2.40,2.41,2.44,2.36,2.37,2.35,2.34,2.32,2.32,2.30,2.26,2.30,2.26,2.23,2.23,2.22,2.19,2.17,2.15,2.16,2.13,2.05,-3.7,-0.8,
North America,2.50,2.45,2.44,2.45,2.45,2.44,2.47,2.56,2.56,2.51,2.52,2.55,2.47,2.48,2.46,2.45,2.42,2.43,2.42,2.37,2.42,2.36,2.32,2.32,2.31,2.27,2.24,2.22,2.22,2.19,2.11,-3.5,-0.9,
Canada,1.44,1.41,1.40,1.32,1.32,1.31,1.32,1.37,1.42,1.40,1.40,1.43,1.42,1.40,1.36,1.38,1.34,1.41,1.38,1.35,1.39,1.34,1.32,1.29,1.23,1.22,1.19,1.18,1.15,1.12,1.02,-9.5,-1.6,
United States,2.55,2.50,2.49,2.51,2.50,2.50,2.52,2.62,2.62,2.56,2.56,2.60,2.50,2.52,2.51,2.50,2.48,2.47,2.46,2.41,2.46,2.39,2.35,2.35,2.34,2.30,2.28,2.26,2.26,2.23,2.15,-3.4,-0.9,
Latin America,1.85,1.85,1.84,1.89,1.89,1.92,1.96,1.98,1.98,1.94,1.99,2.00,1.95,1.93,1.94,1.94,1.94,1.93,1.92,1.93,1.94,1.98,1.99,1.96,1.97,1.97,1.96,1.95,1.95,1.93,1.85,-4.4,-0.4,
Argentina,2.13,2.17,2.15,2.18,2.06,2.08,2.20,2.18,2.14,2.11,2.09,2.14,2.04,2.06,2.07,2.13,2.14,2.16,2.17,2.19,2.18,2.21,2.17,2.18,2.13,2.17,2.17,2.12,2.14,2.43,2.32,-4.8,0.5,
Brazil,1.38,1.39,1.41,1.42,1.40,1.46,1.49,1.52,1.52,1.54,1.59,1.59,1.54,1.49,1.49,1.47,1.44,1.43,1.42,1.38,1.41,1.47,1.53,1.57,1.61,1.56,1.50,1.49,1.43,1.41,1.35,-4.6,-0.8,
Chile,2.21,2.06,1.98,2.04,2.09,2.11,2.20,2.28,2.25,2.26,2.10,2.04,2.01,2.04,2.09,2.06,2.04,2.15,2.25,2.23,2.28,2.27,2.12,2.15,2.21,2.29,2.28,2.26,2.22,2.15,2.10,-2.2,0.0,
Colombia,1.90,1.95,1.98,1.98,1.90,1.97,1.91,2.15,2.10,2.05,2.13,2.14,2.10,2.03,2.02,1.97,1.86,1.90,1.83,1.87,1.97,2.07,2.13,1.83,1.84,1.85,1.88,1.77,1.92,1.89,1.94,2.8,-0.5,
Mexico,2.14,2.19,2.19,2.22,2.35,2.30,2.35,2.33,2.42,2.30,2.45,2.39,2.40,2.36,2.36,2.32,2.38,2.41,2.37,2.40,2.50,2.48,2.43,2.39,2.35,2.44,2.47,2.53,2.54,2.51,2.45,-2.4,0.0,
Venezuela,2.36,2.25,2.05,2.33,2.01,2.28,2.30,2.40,2.21,2.00,2.09,2.34,2.00,2.06,2.21,2.24,2.17,2.06,2.19,2.29,2.08,2.24,2.36,2.09,2.38,2.21,2.21,2.22,2.70,2.79,2.92,4.4,1.7,
Asia,2.27,2.36,2.36,2.37,2.39,2.39,2.36,2.36,2.39,2.34,2.36,2.39,2.41,2.46,2.52,2.58,2.61,2.65,2.64,2.66,2.65,2.73,2.75,2.77,2.73,2.72,2.71,2.70,2.66,2.65,2.63,-0.6,0.5,
China,2.58,2.80,2.81,2.83,2.83,2.82,2.74,2.77,2.86,2.73,2.78,2.80,2.84,2.89,2.99,3.07,3.10,3.10,3.11,3.14,3.07,3.12,3.10,3.15,3.06,3.03,3.03,2.99,2.92,2.89,2.87,-0.5,0.2,
India,1.71,1.76,1.80,1.85,1.90,1.95,1.99,2.00,2.00,2.03,2.07,2.07,2.07,2.08,2.08,2.11,2.17,2.21,2.22,2.22,2.24,2.27,2.36,2.39,2.46,2.44,2.42,2.47,2.49,2.47,2.41,-2.2,0.8,
Indonesia,1.47,1.52,1.53,1.51,1.60,1.62,1.70,1.78,1.84,1.89,1.75,1.82,1.80,1.97,1.88,1.88,1.93,2.04,1.97,1.95,2.04,2.25,2.29,2.17,2.26,2.28,2.23,2.28,2.41,2.51,2.52,0.3,1.8,
Japan,2.40,2.39,2.36,2.33,2.31,2.27,2.25,2.20,2.17,2.21,2.19,2.20,2.27,2.31,2.23,2.24,2.19,2.27,2.23,2.23,2.22,2.51,2.66,2.66,2.66,2.62,2.63,2.56,2.49,2.51,2.54,1.1,0.7,
Malaysia,2.39,2.33,2.22,2.23,2.39,2.40,2.45,2.26,2.41,2.57,2.43,2.43,2.48,2.42,2.47,2.41,2.50,2.54,2.57,2.46,2.64,2.62,2.61,2.54,2.57,2.68,2.57,2.67,2.62,2.62,2.65,1.0,0.4,
South Korea,2.59,2.65,2.61,2.54,2.58,2.55,2.50,2.43,2.29,2.26,2.35,2.40,2.29,2.26,2.30,2.30,2.28,2.28,2.29,2.31,2.32,2.35,2.33,2.31,2.26,2.26,2.24,2.26,2.26,2.08,2.02,-3.1,-0.8,
Taiwan,2.36,2.36,2.40,2.40,2.42,2.45,2.44,2.49,2.47,2.48,2.50,2.55,2.53,2.54,2.59,2.57,2.57,2.51,2.49,2.36,2.40,2.46,2.43,2.41,2.43,2.48,2.47,2.57,2.46,2.43,2.44,0.4,-0.1,
Thailand,1.92,1.97,2.02,2.16,2.20,2.28,2.30,2.31,2.25,2.19,2.15,2.20,2.13,2.07,2.09,2.09,2.08,2.07,2.07,2.03,2.00,2.00,2.00,1.94,1.91,1.93,1.87,1.87,1.90,1.90,2.06,8.2,-0.2,
Pacific,2.79,2.83,2.82,2.72,2.76,2.82,2.75,2.79,2.89,2.87,2.88,2.99,3.00,2.98,3.02,3.06,2.99,2.98,2.91,2.90,2.87,2.84,2.85,2.79,2.73,2.76,2.83,2.83,2.82,2.78,2.72,-2.4,-0.3,
Australia,3.03,3.09,3.08,2.97,3.02,3.08,2.98,3.00,3.12,3.10,3.11,3.23,3.23,3.20,3.26,3.28,3.19,3.19,3.10,3.12,3.10,3.07,3.09,3.02,2.96,3.01,3.09,3.08,3.06,3.01,2.95,-2.1,-0.3,
New Zealand,1.59,1.60,1.66,1.57,1.57,1.59,1.64,1.73,1.70,1.73,1.74,1.84,1.85,1.90,1.84,1.93,1.93,1.84,1.88,1.71,1.62,1.59,1.61,1.60,1.55,1.52,1.52,1.58,1.57,1.55,1.44,-6.7,-0.9,
Africa,1.42,1.40,1.41,1.39,1.36,1.38,1.39,1.43,1.42,1.39,1.41,1.50,1.54,1.53,1.53,1.54,1.52,1.53,1.56,1.51,1.55,1.50,1.55,1.58,1.56,1.56,1.54,1.54,1.55,1.53,1.46,-4.4,0.2,
Algeria,2.39,2.44,2.38,2.46,2.42,2.34,2.39,2.41,2.39,2.38,2.38,2.43,2.48,2.44,2.44,2.48,2.40,2.37,2.47,2.38,2.34,2.42,2.44,2.41,2.38,2.42,2.40,2.36,2.35,2.27,2.28,0.4,-0.2,
Egypt,2.37,2.34,2.37,2.33,2.28,2.30,2.28,2.36,2.33,2.40,2.48,2.39,2.45,2.43,2.43,2.39,2.39,2.41,2.43,2.44,2.49,2.47,2.48,2.52,2.47,2.59,2.47,2.41,2.42,2.44,2.45,0.3,-0.1,
Nigeria,0.43,0.48,0.55,0.50,0.43,0.45,0.49,0.53,0.47,0.48,0.51,0.55,0.55,0.57,0.56,0.55,0.50,0.45,0.48,0.41,0.45,0.49,0.52,0.58,0.62,0.58,0.58,0.58,0.67,0.57,0.56,-0.4,0.5,
South Africa,2.81,2.69,2.79,2.70,2.62,2.64,2.67,2.75,2.77,2.66,2.71,3.14,3.42,3.23,3.15,3.21,3.15,3.05,3.04,2.84,3.20,3.03,3.29,3.40,3.29,3.32,3.18,3.21,3.23,3.27,3.18,-2.8,0.8,
Middle-East,2.65,2.56,2.55,2.52,2.54,2.53,2.58,2.56,2.54,2.52,2.59,2.54,2.52,2.56,2.57,2.55,2.56,2.55,2.50,2.53,2.54,2.57,2.56,2.56,2.53,2.51,2.48,2.42,2.39,2.38,2.36,-1.0,-0.5,
Iran,2.62,2.61,2.70,2.52,2.57,2.52,2.69,2.53,2.52,2.42,2.60,2.51,2.54,2.56,2.54,2.47,2.55,2.58,2.45,2.55,2.52,2.55,2.47,2.53,2.47,2.44,2.38,2.31,2.31,2.30,2.31,0.4,-0.6,
Kuwait,3.08,2.90,2.54,2.34,2.31,2.25,2.22,2.28,2.36,2.42,2.51,2.55,2.62,2.54,2.46,2.46,2.75,2.78,2.57,2.62,2.70,2.94,2.91,2.88,3.12,2.66,2.48,2.60,2.63,2.58,2.52,-2.3,0.0,
