,CO2 emissions from fuel combustion (MtCO2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Back to list of tables
Globally/Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2019 - 2020 (%) ,2000 - 2020 (%/year) ,
World,"20,316","20,447","20,380","20,493","20,587","21,063","21,527","21,893","22,048","22,190","22,844","23,204","23,523","24,575","25,722","26,631","27,464","28,392","28,574","28,280","29,929","30,774","31,217","31,764","31,770","31,702","31,677","32,102","32,642","32,661","31,067",-4.9,1.5,
OECD,"11,195","11,220","11,273","11,375","11,566","11,723","12,101","12,361","12,375","12,453","12,772","12,801","12,717","12,937","13,066","13,108","13,031","13,190","12,859","12,124","12,630","12,409","12,263","12,281","12,084","11,989","11,921","11,913","11,979","11,595","10,442",-9.9,-1.0,
G7,"8,623","8,590","8,631","8,695","8,810","8,905","9,158","9,370","9,411","9,456","9,663","9,657","9,534","9,656","9,718","9,731","9,591","9,684","9,392","8,756","9,131","8,897","8,774","8,866","8,742","8,565","8,433","8,341","8,434","8,210","7,369",-10.2,-1.3,
BRICS,"5,413","5,569","5,522","5,570","5,529","5,761","5,802","5,804","5,938","5,949","6,169","6,365","6,646","7,309","8,128","8,801","9,518","10,097","10,437","10,938","11,785","12,635","13,073","13,526","13,632","13,595","13,526","13,855","14,155","14,435","14,307",-0.9,4.3,
Europe,"4,401","4,375","4,253","4,174","4,129","4,193","4,334","4,261","4,272","4,197","4,245","4,304","4,299","4,418","4,431","4,420","4,463","4,432","4,348","4,050","4,184","4,068","4,035","3,940","3,767","3,832","3,841","3,891","3,824","3,668","3,279",-10.6,-1.3,
European Union,"3,542","3,520","3,406","3,344","3,324","3,377","3,471","3,407","3,405","3,346","3,360","3,419","3,417","3,501","3,502","3,487","3,500","3,459","3,388","3,144","3,247","3,148","3,090","3,017","2,877","2,935","2,943","2,968","2,914","2,778","2,470",-11.1,-1.5,
Belgium,106,111,110,108,114,114,119,116,119,114,116,116,111,114,114,111,110,106,109,105,114,106,99,100,93,100,96,96,98,99,91,-8.1,-1.2,
Czechia,147,136,130,130,125,126,127,125,119,112,123,122,118,122,124,119,120,123,118,110,114,110,107,103,100,101,102,104,103,98,85,-12.9,-1.8,
France,365,393,382,363,356,367,381,372,395,390,386,390,383,388,389,392,383,374,368,351,356,339,345,345,314,320,321,325,320,311,272,-12.6,-1.7,
Germany,953,936,896,884,870,868,894,863,860,828,830,849,837,835,820,804,815,786,793,738,781,752,768,788,750,755,762,746,726,678,617,-9.0,-1.5,
Italy,398,399,398,392,388,411,408,412,422,427,431,429,438,453,460,462,459,451,440,393,402,393,375,344,328,336,333,329,324,317,276,-13.1,-2.2,
Netherlands,163,170,169,174,174,179,189,183,184,178,180,184,186,189,191,188,184,184,183,178,191,179,177,175,168,176,176,174,167,160,151,-5.6,-0.8,
Poland,356,354,345,345,338,339,353,343,317,309,296,295,289,301,304,304,317,314,311,300,318,314,308,305,292,296,307,319,320,302,278,-7.9,-0.3,
Portugal,40,41,45,44,45,49,47,49,54,60,60,59,63,59,60,63,58,56,54,54,48,48,47,45,44,48,48,52,48,45,39,-12.6,-2.1,
Romania,163,136,127,118,114,117,122,113,98,84,87,94,93,96,94,93,96,94,92,78,75,82,79,70,69,69,68,71,72,69,64,-7.6,-1.6,
Spain,205,214,225,211,219,232,222,241,249,270,286,287,304,310,326,340,331,344,316,281,267,270,265,238,236,252,243,258,253,237,191,-19.4,-2.0,
Sweden,53,53,53,53,55,55,60,55,56,54,51,52,53,55,53,50,51,49,48,44,49,45,42,41,39,39,39,39,37,36,32,-10.7,-2.3,
United Kingdom,556,564,558,541,533,524,545,520,526,523,532,544,529,543,544,542,543,532,516,469,485,446,468,455,415,402,379,367,359,347,304,-12.2,-2.8,
Norway,28,26,29,31,33,32,33,35,36,38,33,34,34,37,37,37,37,38,37,37,42,40,39,39,39,39,38,38,38,38,35,-8.4,0.3,
Turkey,133,134,140,146,144,158,174,183,184,182,203,184,194,205,212,219,245,268,267,267,274,294,306,295,316,329,349,387,383,374,354,-5.3,2.8,
CIS,"3,556","3,500","3,173","2,869","2,514","2,419","2,304","2,173","2,150","2,182","2,212","2,202","2,201","2,274","2,276","2,292","2,379","2,381","2,429","2,233","2,391","2,495","2,469","2,424","2,313","2,266","2,271","2,305","2,378","2,419","2,299",-5.0,0.2,
Kazakhstan,236,243,249,212,192,168,146,123,126,113,122,113,126,145,150,161,182,193,225,199,217,232,234,251,203,194,212,214,208,207,206,-0.6,2.7,
Russia,"2,189","2,190","2,017","1,849","1,629","1,583","1,565","1,472","1,455","1,502","1,522","1,528","1,511","1,552","1,550","1,548","1,609","1,589","1,604","1,507","1,610","1,674","1,653","1,603","1,585","1,592","1,572","1,615","1,674","1,719","1,619",-5.8,0.3,
Ukraine,690,655,565,503,416,415,350,335,318,315,309,302,302,313,302,311,306,315,304,257,277,291,285,274,231,192,192,177,188,174,170,-2.7,-2.9,
Uzbekistan,119,120,112,112,109,100,101,103,113,114,121,122,125,117,120,113,120,116,122,112,120,123,109,111,103,97,103,108,108,112,107,-4.2,-0.6,
America,"6,148","6,113","6,220","6,374","6,517","6,605","6,853","7,194","7,279","7,326","7,549","7,531","7,401","7,504","7,633","7,699","7,628","7,783","7,613","7,163","7,515","7,380","7,245","7,396","7,447","7,289","7,156","7,086","7,236","7,085","6,320",-10.8,-0.9,
North America,"5,296","5,236","5,327","5,450","5,547","5,610","5,794","6,076","6,118","6,162","6,347","6,319","6,181","6,260","6,332","6,358","6,245","6,363","6,160","5,741","5,991","5,796","5,607","5,719","5,762","5,614","5,510","5,463","5,638","5,512","4,920",-10.7,-1.3,
Canada,430,423,435,435,452,461,476,493,498,509,530,524,530,552,545,555,548,580,558,531,546,559,560,568,570,570,561,572,582,580,516,-11.0,-0.1,
United States,"4,866","4,813","4,891","5,015","5,095","5,149","5,317","5,583","5,620","5,653","5,817","5,796","5,650","5,708","5,787","5,803","5,697","5,783","5,602","5,210","5,445","5,237","5,047","5,151","5,192","5,044","4,949","4,891","5,056","4,933","4,405",-10.7,-1.4,
Latin America,852,877,893,923,970,995,"1,060","1,118","1,161","1,163","1,202","1,212","1,220","1,244","1,301","1,341","1,383","1,421","1,453","1,423","1,523","1,584","1,638","1,677","1,685","1,675","1,646","1,623","1,598","1,572","1,399",-11.0,0.8,
Argentina,93,99,101,105,108,109,119,121,127,128,127,120,114,124,139,142,150,159,164,153,163,171,173,178,174,180,179,175,171,192,167,-13.2,1.4,
Brazil,194,199,204,211,219,236,254,271,279,288,298,305,303,298,315,318,322,337,355,333,377,397,430,462,487,463,430,436,411,413,385,-6.7,1.3,
Chile,31,29,31,32,36,39,45,52,53,57,53,51,51,53,58,58,60,66,68,66,70,76,79,83,77,81,86,87,87,85,80,-6.6,2.1,
Colombia,46,48,49,52,52,54,54,59,60,53,55,55,53,52,52,53,53,54,55,58,60,65,65,72,74,75,79,71,75,78,75,-3.3,1.6,
Mexico,265,284,286,296,321,304,317,330,353,345,369,371,377,397,404,420,437,440,436,432,446,464,467,458,444,451,457,456,458,441,371,-16.1,0.0,
Venezuela,94,93,95,101,101,107,115,120,116,116,123,128,135,129,134,142,140,136,143,145,157,151,162,159,157,142,130,124,113,101,85,-16.0,-1.8,
Asia,"4,798","5,023","5,210","5,489","5,765","6,126","6,248","6,384","6,433","6,535","6,824","7,032","7,398","8,088","8,962","9,687","10,363","11,047","11,283","11,878","12,761","13,695","14,191","14,659","14,783","14,834","14,885","15,238","15,591","15,856","15,683",-1.1,4.2,
China,"2,255","2,370","2,462","2,631","2,757","2,944","2,939","2,968","3,085","2,996","3,140","3,275","3,534","4,108","4,836","5,471","6,052","6,514","6,707","7,218","7,798","8,488","8,749","9,161","9,083","9,077","9,033","9,186","9,346","9,562","9,717",1.6,5.8,
India,523,562,594,626,667,725,760,795,813,874,912,927,956,987,"1,040","1,085","1,155","1,256","1,338","1,472","1,570","1,662","1,810","1,859","2,024","2,035","2,062","2,182","2,290","2,319","2,191",-5.5,4.5,
Indonesia,145,157,165,179,190,212,230,250,252,271,272,291,297,325,332,335,354,372,365,382,410,461,468,428,464,465,466,505,556,596,566,-5.0,3.7,
Japan,"1,055","1,062","1,071","1,064","1,116","1,125","1,137","1,127","1,090","1,125","1,138","1,125","1,166","1,176","1,173","1,173","1,146","1,179","1,116","1,064","1,115","1,171","1,211","1,215","1,174","1,138","1,128","1,110","1,067","1,044",979,-6.2,-0.7,
Malaysia,51,61,64,70,75,82,93,100,100,109,118,124,130,136,149,159,166,184,195,177,194,199,203,221,228,228,228,228,246,252,233,-7.4,3.5,
South Korea,243,268,291,317,342,372,396,418,361,395,447,464,462,465,488,493,496,517,530,542,594,626,631,628,624,638,656,665,667,608,570,-6.4,1.2,
Taiwan,112,122,129,138,146,155,163,176,186,195,212,221,229,239,247,251,258,263,251,237,254,260,256,257,265,265,268,276,272,261,257,-1.5,1.0,
Thailand,81,90,98,111,125,141,159,163,149,155,155,164,175,185,202,208,210,218,224,218,235,235,252,264,260,264,260,260,258,259,258,-0.7,2.6,
Pacific,286,288,294,297,303,314,325,337,356,364,371,379,392,393,405,412,416,425,430,430,428,425,426,424,415,421,431,435,434,433,414,-4.2,0.6,
Australia,261,263,267,271,275,285,295,304,324,330,336,342,354,354,367,373,376,387,390,393,391,389,388,385,375,381,391,394,392,387,372,-4.0,0.5,
New Zealand,22,22,24,23,24,24,26,28,27,29,30,32,32,33,32,33,33,32,33,30,30,29,31,31,32,32,31,33,32,32,30,-6.5,0.0,
Africa,538,545,554,564,562,592,615,648,664,667,680,740,772,806,853,880,897,935,998,988,"1,043","1,046","1,107","1,143","1,194","1,188","1,204","1,232","1,276","1,265","1,179",-6.8,2.8,
Algeria,53,57,57,59,56,57,56,58,59,63,64,66,72,75,76,80,83,87,92,97,98,105,115,118,127,135,133,135,143,148,135,-9.0,3.8,
Egypt,78,77,80,82,77,83,87,94,99,104,102,112,117,121,132,149,157,170,178,182,184,190,196,196,199,209,218,224,232,237,225,-5.2,4.0,
Nigeria,28,34,40,37,31,33,37,42,38,39,44,50,51,56,56,58,53,49,54,46,58,68,72,83,91,85,86,88,107,89,89,0.4,3.6,
South Africa,252,248,245,253,258,274,284,299,307,290,296,331,342,364,387,379,379,400,433,408,430,414,431,441,453,428,430,437,434,422,395,-6.5,1.4,
Middle-East,589,604,676,727,797,814,847,895,893,920,963,"1,017","1,060","1,094","1,162","1,241","1,318","1,387","1,475","1,538","1,609","1,664","1,745","1,778","1,851","1,873","1,888","1,914","1,903","1,935","1,893",-2.2,3.4,
Iran,181,201,218,220,249,255,262,277,280,306,320,335,351,366,395,427,460,493,502,521,515,531,538,561,587,582,585,605,615,620,619,-0.2,3.4,
Kuwait,28,8,22,29,33,33,32,33,39,43,47,50,52,54,58,66,68,68,73,75,79,82,85,85,84,88,90,90,89,93,95,1.9,3.6,
Saudi Arabia,156,162,177,187,200,199,212,214,229,235,244,248,266,277,294,310,329,346,378,395,435,451,482,489,525,551,547,536,511,508,492,-3.2,3.6,
United Arab Emirates,52,59,57,60,66,71,74,78,79,82,81,94,96,100,106,113,117,126,147,150,156,160,171,178,177,188,193,202,194,192,185,-3.5,4.2,
n.a. : non avalaible ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141 additional countries available in our Global Energy & CO2 Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source : Enerdata www.enerdata.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"© Copyright Enerdata www.enerdata.net. Reproduction and diffusion prohibited (web, photocopy, intranet...) without written permission.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
