,CO2 intensity at constant purchasing power parities (kCO2/$15p),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Back to list of tables
Globally/Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2019 - 2020 (%) ,2000 - 2020 (%/year) ,
World,0.411,0.409,0.401,0.397,0.388,0.385,0.379,0.371,0.364,0.355,0.349,0.346,0.341,0.344,0.342,0.338,0.332,0.326,0.319,0.317,0.320,0.316,0.312,0.307,0.297,0.287,0.278,0.272,0.267,0.260,0.257,-1.3,-1.5,
OECD,0.363,0.359,0.354,0.352,0.347,0.343,0.343,0.338,0.329,0.320,0.315,0.312,0.305,0.304,0.297,0.289,0.279,0.275,0.267,0.260,0.263,0.254,0.247,0.244,0.235,0.227,0.222,0.216,0.212,0.202,0.192,-5.3,-2.5,
G7,0.378,0.372,0.366,0.365,0.359,0.354,0.354,0.351,0.343,0.334,0.329,0.325,0.317,0.315,0.308,0.300,0.288,0.285,0.277,0.268,0.271,0.260,0.253,0.252,0.244,0.234,0.227,0.220,0.218,0.209,0.198,-5.4,-2.5,
BRICS,0.663,0.679,0.681,0.668,0.644,0.639,0.614,0.584,0.579,0.546,0.530,0.518,0.511,0.523,0.537,0.537,0.531,0.510,0.494,0.494,0.489,0.490,0.478,0.467,0.445,0.423,0.400,0.388,0.375,0.365,0.366,0.3,-1.8,
Europe,0.306,0.303,0.293,0.288,0.278,0.274,0.276,0.263,0.256,0.246,0.239,0.237,0.233,0.236,0.229,0.223,0.217,0.208,0.203,0.197,0.199,0.188,0.187,0.181,0.169,0.168,0.164,0.162,0.155,0.146,0.139,-4.8,-2.7,
European Union,0.312,0.308,0.296,0.293,0.284,0.280,0.282,0.270,0.262,0.250,0.242,0.241,0.237,0.241,0.234,0.228,0.221,0.211,0.205,0.199,0.201,0.192,0.189,0.185,0.174,0.173,0.170,0.167,0.160,0.150,0.142,-5.0,-2.6,
Belgium,0.322,0.330,0.321,0.320,0.325,0.318,0.329,0.308,0.309,0.288,0.282,0.279,0.261,0.267,0.257,0.245,0.236,0.220,0.226,0.222,0.234,0.213,0.198,0.199,0.183,0.191,0.182,0.178,0.179,0.178,0.174,-2.0,-2.4,
Czechia,0.647,0.675,0.649,0.651,0.606,0.575,0.557,0.551,0.528,0.487,0.512,0.495,0.471,0.470,0.455,0.412,0.388,0.376,0.351,0.344,0.348,0.331,0.323,0.312,0.296,0.284,0.281,0.273,0.262,0.245,0.226,-7.7,-4.0,
France,0.197,0.210,0.201,0.192,0.184,0.186,0.190,0.182,0.186,0.178,0.169,0.168,0.163,0.164,0.159,0.158,0.151,0.144,0.141,0.138,0.138,0.129,0.130,0.130,0.117,0.118,0.117,0.116,0.112,0.107,0.102,-4.8,-2.5,
Germany,0.298,0.276,0.258,0.255,0.242,0.234,0.237,0.224,0.218,0.203,0.198,0.198,0.195,0.196,0.189,0.182,0.177,0.164,0.164,0.163,0.162,0.153,0.157,0.160,0.151,0.148,0.143,0.135,0.128,0.115,0.107,-6.4,-3.0,
Italy,0.209,0.206,0.204,0.203,0.197,0.202,0.199,0.197,0.198,0.197,0.192,0.187,0.191,0.197,0.197,0.196,0.192,0.186,0.183,0.173,0.173,0.168,0.165,0.155,0.148,0.150,0.147,0.143,0.139,0.136,0.130,-4.6,-1.9,
Netherlands,0.316,0.321,0.313,0.318,0.310,0.309,0.314,0.293,0.280,0.259,0.250,0.251,0.253,0.257,0.255,0.245,0.231,0.224,0.218,0.220,0.232,0.214,0.214,0.213,0.201,0.206,0.202,0.194,0.182,0.172,0.169,-1.5,-1.9,
Poland,0.856,0.916,0.872,0.840,0.782,0.732,0.720,0.656,0.580,0.540,0.495,0.488,0.467,0.471,0.451,0.436,0.428,0.397,0.377,0.353,0.362,0.340,0.328,0.321,0.297,0.290,0.292,0.290,0.276,0.249,0.236,-5.3,-3.6,
Portugal,0.177,0.176,0.191,0.189,0.194,0.200,0.185,0.186,0.194,0.210,0.200,0.195,0.206,0.194,0.194,0.203,0.183,0.174,0.167,0.171,0.151,0.152,0.154,0.151,0.146,0.157,0.152,0.160,0.145,0.131,0.124,-5.4,-2.4,
Romania,0.586,0.560,0.576,0.528,0.488,0.473,0.474,0.460,0.409,0.352,0.357,0.364,0.343,0.344,0.306,0.289,0.277,0.251,0.226,0.203,0.202,0.216,0.205,0.174,0.167,0.162,0.151,0.148,0.143,0.133,0.129,-2.7,-5.0,
Spain,0.206,0.209,0.217,0.206,0.209,0.215,0.200,0.210,0.208,0.216,0.218,0.209,0.216,0.214,0.218,0.219,0.205,0.206,0.187,0.173,0.164,0.168,0.170,0.155,0.151,0.155,0.145,0.150,0.144,0.132,0.120,-9.4,-2.9,
Sweden,0.188,0.191,0.195,0.196,0.199,0.190,0.206,0.182,0.177,0.165,0.147,0.148,0.149,0.149,0.139,0.128,0.125,0.115,0.113,0.108,0.114,0.101,0.095,0.091,0.085,0.081,0.079,0.078,0.071,0.069,0.064,-8.1,-4.1,
United Kingdom,0.338,0.347,0.342,0.323,0.306,0.291,0.295,0.271,0.265,0.255,0.250,0.249,0.236,0.235,0.229,0.222,0.216,0.207,0.201,0.191,0.194,0.175,0.181,0.173,0.153,0.145,0.134,0.128,0.123,0.117,0.114,-2.6,-3.8,
Norway,0.163,0.149,0.160,0.166,0.165,0.156,0.153,0.153,0.156,0.158,0.134,0.137,0.134,0.143,0.139,0.134,0.133,0.130,0.128,0.131,0.146,0.139,0.130,0.128,0.127,0.125,0.121,0.117,0.116,0.115,0.112,-2.6,-0.9,
Turkey,0.196,0.197,0.196,0.189,0.196,0.199,0.204,0.200,0.196,0.201,0.210,0.203,0.201,0.201,0.189,0.180,0.188,0.196,0.193,0.203,0.192,0.186,0.184,0.164,0.167,0.163,0.168,0.173,0.167,0.161,0.150,-6.9,-1.7,
CIS,0.808,0.846,0.891,0.892,0.913,0.931,0.922,0.859,0.882,0.851,0.791,0.742,0.706,0.677,0.627,0.592,0.565,0.519,0.503,0.496,0.506,0.504,0.482,0.462,0.437,0.437,0.435,0.432,0.433,0.432,0.425,-1.4,-3.1,
Kazakhstan,1.027,1.187,1.284,1.206,1.248,1.186,1.029,0.853,0.887,0.777,0.762,0.624,0.632,0.667,0.630,0.615,0.627,0.613,0.691,0.604,0.614,0.610,0.588,0.595,0.461,0.435,0.470,0.456,0.427,0.407,0.416,2.2,-3.0,
Russia,0.724,0.763,0.822,0.825,0.832,0.843,0.866,0.803,0.838,0.813,0.749,0.716,0.676,0.647,0.603,0.566,0.544,0.495,0.475,0.484,0.494,0.493,0.470,0.447,0.439,0.452,0.444,0.449,0.455,0.461,0.451,-2.3,-2.5,
Ukraine,0.944,0.978,0.933,0.969,1.041,1.182,1.109,1.092,1.057,1.049,0.972,0.872,0.826,0.782,0.674,0.674,0.616,0.590,0.557,0.553,0.572,0.570,0.558,0.536,0.484,0.445,0.436,0.391,0.402,0.362,0.379,4.9,-4.6,
Uzbekistan,1.633,1.652,1.728,1.776,1.821,1.684,1.677,1.627,1.710,1.659,1.692,1.635,1.607,1.453,1.383,1.219,1.205,1.066,1.024,0.871,0.868,0.822,0.680,0.643,0.557,0.491,0.491,0.489,0.468,0.457,0.434,-4.9,-6.6,
America,0.405,0.399,0.394,0.392,0.385,0.382,0.382,0.383,0.374,0.364,0.360,0.356,0.345,0.341,0.332,0.323,0.308,0.304,0.294,0.284,0.287,0.275,0.263,0.263,0.260,0.249,0.243,0.236,0.236,0.228,0.213,-6.4,-2.6,
North America,0.498,0.493,0.486,0.484,0.473,0.466,0.464,0.466,0.450,0.433,0.428,0.422,0.405,0.398,0.388,0.376,0.359,0.358,0.346,0.331,0.337,0.321,0.304,0.304,0.299,0.283,0.274,0.266,0.266,0.255,0.236,-7.4,-2.9,
Canada,0.367,0.366,0.370,0.352,0.346,0.342,0.345,0.347,0.347,0.338,0.334,0.330,0.318,0.318,0.304,0.298,0.281,0.278,0.261,0.253,0.254,0.243,0.236,0.230,0.219,0.216,0.213,0.210,0.203,0.197,0.176,-10.8,-3.1,
United States,0.496,0.491,0.482,0.481,0.470,0.462,0.460,0.462,0.446,0.428,0.423,0.417,0.400,0.392,0.383,0.371,0.354,0.353,0.343,0.327,0.333,0.315,0.297,0.298,0.293,0.277,0.267,0.259,0.260,0.248,0.229,-7.5,-3.0,
Latin America,0.188,0.187,0.186,0.186,0.186,0.189,0.194,0.194,0.197,0.197,0.196,0.197,0.198,0.198,0.195,0.192,0.188,0.183,0.180,0.180,0.182,0.181,0.181,0.181,0.179,0.177,0.176,0.171,0.167,0.165,0.158,-4.2,-1.1,
Argentina,0.242,0.235,0.222,0.214,0.207,0.215,0.223,0.210,0.212,0.222,0.221,0.219,0.233,0.233,0.239,0.224,0.220,0.213,0.212,0.209,0.203,0.201,0.205,0.206,0.207,0.209,0.212,0.201,0.202,0.232,0.225,-3.0,0.1,
Brazil,0.126,0.128,0.131,0.130,0.128,0.132,0.139,0.144,0.147,0.151,0.150,0.151,0.146,0.142,0.142,0.139,0.135,0.134,0.134,0.126,0.132,0.134,0.142,0.148,0.156,0.154,0.147,0.148,0.137,0.136,0.133,-2.4,-0.6,
Chile,0.255,0.225,0.210,0.209,0.219,0.219,0.236,0.255,0.250,0.268,0.237,0.220,0.217,0.214,0.217,0.208,0.202,0.211,0.211,0.207,0.209,0.214,0.209,0.211,0.192,0.200,0.208,0.207,0.199,0.193,0.191,-1.1,-1.1,
Colombia,0.170,0.173,0.172,0.171,0.161,0.161,0.157,0.165,0.167,0.153,0.155,0.153,0.144,0.137,0.130,0.127,0.118,0.112,0.110,0.115,0.114,0.115,0.110,0.118,0.115,0.114,0.117,0.104,0.107,0.107,0.111,3.0,-1.7,
Mexico,0.222,0.229,0.223,0.226,0.233,0.236,0.231,0.225,0.228,0.217,0.221,0.223,0.227,0.236,0.231,0.234,0.234,0.230,0.225,0.236,0.231,0.232,0.226,0.218,0.206,0.203,0.199,0.195,0.192,0.185,0.170,-8.3,-1.3,
Venezuela,0.305,0.277,0.267,0.281,0.288,0.294,0.317,0.310,0.300,0.318,0.325,0.328,0.379,0.395,0.346,0.332,0.299,0.266,0.267,0.278,0.306,0.282,0.288,0.279,0.285,0.276,0.305,0.344,0.391,0.537,0.602,12.1,3.1,
Asia,0.450,0.449,0.441,0.443,0.438,0.437,0.419,0.410,0.410,0.398,0.394,0.391,0.392,0.405,0.420,0.425,0.424,0.417,0.407,0.411,0.408,0.413,0.405,0.396,0.378,0.359,0.341,0.331,0.321,0.312,0.314,0.5,-1.1,
China,1.367,1.314,1.195,1.122,1.040,1.001,0.909,0.840,0.810,0.730,0.706,0.679,0.672,0.710,0.759,0.771,0.756,0.713,0.669,0.658,0.643,0.639,0.610,0.593,0.548,0.512,0.478,0.455,0.434,0.419,0.418,-0.2,-2.6,
India,0.330,0.351,0.352,0.354,0.353,0.357,0.348,0.350,0.337,0.333,0.335,0.324,0.323,0.309,0.301,0.291,0.287,0.290,0.299,0.305,0.300,0.302,0.312,0.301,0.305,0.284,0.266,0.263,0.258,0.251,0.256,2.0,-1.3,
Indonesia,0.175,0.177,0.175,0.178,0.176,0.181,0.182,0.189,0.219,0.234,0.224,0.231,0.226,0.236,0.229,0.219,0.219,0.216,0.201,0.201,0.203,0.214,0.205,0.178,0.184,0.176,0.168,0.173,0.181,0.185,0.179,-2.9,-1.1,
Japan,0.262,0.255,0.255,0.254,0.264,0.259,0.254,0.249,0.244,0.252,0.248,0.244,0.253,0.251,0.245,0.241,0.232,0.235,0.225,0.227,0.228,0.240,0.244,0.240,0.231,0.222,0.218,0.211,0.201,0.195,0.193,-1.5,-1.3,
Malaysia,0.273,0.301,0.290,0.288,0.283,0.282,0.289,0.290,0.314,0.320,0.319,0.333,0.332,0.328,0.338,0.341,0.337,0.353,0.356,0.327,0.334,0.327,0.315,0.328,0.320,0.304,0.290,0.275,0.283,0.278,0.274,-1.7,-0.8,
South Korea,0.467,0.465,0.476,0.486,0.480,0.476,0.470,0.470,0.429,0.421,0.437,0.435,0.403,0.394,0.394,0.383,0.366,0.362,0.361,0.367,0.377,0.383,0.378,0.366,0.352,0.350,0.349,0.344,0.336,0.300,0.284,-5.4,-2.1,
Taiwan,0.672,0.675,0.666,0.667,0.660,0.657,0.650,0.658,0.667,0.660,0.688,0.725,0.711,0.715,0.693,0.667,0.651,0.622,0.589,0.566,0.548,0.540,0.520,0.513,0.506,0.503,0.503,0.502,0.481,0.450,0.443,-1.6,-2.2,
Thailand,0.207,0.213,0.215,0.224,0.234,0.244,0.260,0.275,0.270,0.269,0.259,0.264,0.266,0.262,0.269,0.266,0.256,0.251,0.254,0.250,0.250,0.248,0.248,0.253,0.246,0.242,0.231,0.222,0.212,0.208,0.222,6.4,-0.8,
Pacific,0.462,0.466,0.472,0.456,0.447,0.445,0.444,0.445,0.453,0.440,0.433,0.434,0.431,0.419,0.416,0.409,0.401,0.396,0.389,0.382,0.372,0.361,0.349,0.339,0.322,0.318,0.317,0.312,0.302,0.296,0.294,-0.7,-1.9,
Australia,0.508,0.512,0.518,0.505,0.494,0.493,0.492,0.487,0.496,0.480,0.471,0.470,0.468,0.454,0.453,0.446,0.438,0.434,0.422,0.417,0.406,0.395,0.378,0.366,0.348,0.346,0.345,0.339,0.329,0.319,0.314,-1.6,-2.0,
New Zealand,0.254,0.263,0.278,0.258,0.252,0.244,0.250,0.267,0.257,0.258,0.261,0.267,0.256,0.249,0.237,0.235,0.229,0.215,0.224,0.206,0.201,0.192,0.199,0.195,0.192,0.184,0.175,0.178,0.170,0.166,0.170,2.7,-2.1,
Africa,0.240,0.239,0.241,0.245,0.240,0.247,0.243,0.247,0.245,0.238,0.234,0.244,0.243,0.242,0.242,0.236,0.227,0.222,0.225,0.215,0.215,0.213,0.220,0.219,0.220,0.212,0.211,0.209,0.209,0.201,0.194,-3.6,-0.9,
Algeria,0.229,0.250,0.246,0.260,0.249,0.242,0.230,0.235,0.229,0.236,0.231,0.230,0.237,0.231,0.225,0.225,0.229,0.232,0.239,0.248,0.241,0.251,0.268,0.267,0.277,0.284,0.271,0.270,0.283,0.291,0.280,-3.7,1.0,
Egypt,0.214,0.209,0.207,0.206,0.186,0.190,0.191,0.195,0.195,0.193,0.178,0.188,0.193,0.193,0.202,0.219,0.216,0.218,0.213,0.208,0.200,0.203,0.205,0.200,0.198,0.199,0.199,0.197,0.193,0.187,0.171,-8.4,-0.2,
Nigeria,0.093,0.110,0.125,0.117,0.100,0.108,0.115,0.126,0.111,0.116,0.123,0.131,0.117,0.118,0.109,0.107,0.092,0.080,0.082,0.064,0.075,0.084,0.086,0.092,0.095,0.086,0.089,0.090,0.107,0.088,0.091,3.7,-1.5,
South Africa,0.665,0.676,0.683,0.696,0.687,0.708,0.705,0.723,0.738,0.681,0.668,0.726,0.724,0.748,0.761,0.709,0.670,0.672,0.704,0.675,0.690,0.644,0.655,0.654,0.660,0.616,0.616,0.617,0.608,0.591,0.595,0.8,-0.6,
Middle-East,0.294,0.289,0.302,0.315,0.337,0.335,0.334,0.341,0.326,0.334,0.331,0.346,0.354,0.348,0.340,0.346,0.347,0.348,0.354,0.368,0.366,0.358,0.376,0.379,0.385,0.383,0.367,0.370,0.367,0.375,0.387,3.1,0.8,
Iran,0.356,0.351,0.371,0.369,0.425,0.425,0.416,0.437,0.433,0.469,0.463,0.482,0.470,0.450,0.466,0.488,0.501,0.496,0.504,0.518,0.484,0.487,0.532,0.557,0.557,0.559,0.495,0.494,0.531,0.572,0.580,1.4,1.1,
Kuwait,0.524,0.242,0.388,0.373,0.398,0.379,0.366,0.370,0.421,0.472,0.485,0.525,0.529,0.468,0.455,0.467,0.446,0.423,0.440,0.490,0.526,0.497,0.482,0.481,0.468,0.489,0.486,0.509,0.502,0.519,0.575,10.8,0.9,
