,Coal and lignite balance of trade (Mt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Back to list of tables
Globally/Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,,,
OECD,35.5,42.5,49.6,56.0,69.2,66.0,76.2,89.4,93.6,120.5,158.9,188.5,196.6,220.7,246.1,228.3,261.5,251.6,228.9,167.3,150.4,148.8,130.5,109.5,87.5,87.1,78.7,70.6,33.9,4.5,-12.9,,,
G7,54.1,66.6,81.0,90.9,98.5,93.1,101.3,120.3,135.8,165.5,199.4,238.1,243.6,257.2,286.5,285.2,309.6,294.5,272.1,226.3,223.9,187.6,187.7,213.7,217.0,223.9,215.2,173.1,141.9,142.9,139.8,,,
BRICS,-54.1,-42.9,-60.9,-52.5,-55.9,-75.2,-80.0,-79.8,-76.9,-91.7,-114.0,-150.2,-141.0,-162.8,-151.9,-139.6,-112.7,-90.5,-57.6,85.7,125.9,199.1,283.0,340.7,345.7,211.8,259.7,269.3,265.1,290.8,261.3,,,
Europe,134.2,150.2,149.1,125.3,121.9,129.2,139.5,144.5,150.9,146.9,170.9,182.0,180.7,199.0,215.7,216.4,238.2,240.0,237.8,196.1,198.2,220.5,235.6,230.9,228.6,212.8,194.3,204.2,199.1,165.3,127.7,,,
European Union,114.3,124.4,122.1,100.5,100.8,106.1,111.8,113.3,116.7,116.1,132.5,138.1,140.6,151.2,162.8,153.4,165.8,173.5,174.6,137.9,148.9,162.5,160.2,152.3,154.1,152.5,145.8,152.5,146.0,116.6,77.5,,,
Belgium,14.3,13.8,13.5,11.3,12.5,14.2,12.1,11.7,12.4,10.5,11.0,11.9,8.3,8.8,9.0,8.0,7.3,6.5,7.4,4.0,5.7,5.4,4.7,5.1,5.1,4.8,4.3,4.2,4.6,4.5,3.8,,,
Czechia,-13.5,-13.1,-13.5,-13.5,-12.1,-12.3,-10.9,-10.1,-9.8,-9.2,-8.0,-8.0,-6.8,-5.6,-5.0,-5.5,-6.1,-5.4,-5.4,-5.3,-4.7,-3.8,-3.6,-2.9,-0.3,0.0,-0.3,0.7,1.2,1.8,2.4,,,
France,19.8,21.6,21.8,13.9,12.1,13.5,16.1,14.5,19.5,18.5,19.7,16.7,19.1,17.9,19.9,20.6,21.2,19.2,21.6,15.9,18.7,17.4,18.4,18.9,14.8,14.0,13.0,15.5,13.9,10.8,9.3,,,
Germany,5.9,13.1,17.2,15.9,17.0,17.2,20.2,24.3,27.9,28.1,34.9,41.6,38.5,39.1,43.0,39.9,48.8,49.8,48.1,39.7,48.8,50.2,50.2,55.8,54.1,54.8,58.0,50.4,44.7,40.5,29.2,,,
Italy,20.5,20.3,17.9,14.5,16.0,19.1,16.8,15.7,17.0,17.4,19.4,20.0,19.8,22.0,25.5,24.8,25.1,25.2,25.1,19.2,21.8,23.2,24.2,20.8,20.8,19.9,17.3,15.6,14.4,10.4,7.2,,,
Netherlands,12.4,11.5,11.4,11.4,12.6,14.0,13.4,13.9,14.0,11.6,12.6,13.5,13.4,13.6,13.6,13.0,12.2,13.6,12.7,11.9,12.2,12.0,13.0,12.8,15.0,17.3,16.3,14.8,13.1,10.3,5.9,,,
Poland,-31.4,-27.2,-26.0,-25.6,-30.5,-34.0,-29.2,-29.5,-27.2,-24.6,-25.5,-25.1,-24.1,-22.9,-22.8,-20.8,-18.0,-12.5,-4.4,-2.7,-3.1,1.2,-3.5,-7.1,-5.4,-7.5,-7.9,-0.8,7.6,6.1,1.5,,,
Portugal,4.7,4.2,4.5,4.8,5.0,6.0,5.3,5.7,5.0,6.0,6.3,4.8,5.7,5.4,5.3,5.3,5.8,4.8,3.8,5.0,2.7,3.6,5.0,4.2,4.4,5.4,4.9,5.7,4.5,2.6,0.0,,,
Romania,9.7,6.1,7.3,3.7,4.2,4.5,4.6,5.3,4.0,2.6,3.0,3.6,4.2,4.4,4.8,4.8,4.6,6.0,4.2,1.8,2.0,1.8,2.0,1.9,1.8,1.6,1.9,1.7,1.6,1.8,1.3,,,
Spain,10.9,13.1,14.3,12.8,12.0,14.7,12.5,11.3,14.2,19.8,21.0,18.4,24.1,21.0,23.7,24.3,22.8,22.5,18.7,15.6,11.2,14.8,20.2,13.0,15.2,17.8,13.4,19.0,15.7,7.1,2.4,,,
Sweden,4.1,3.7,3.6,3.6,4.0,4.2,3.8,4.0,3.7,3.4,3.6,3.7,3.7,4.0,4.0,3.9,3.5,3.8,3.5,2.2,3.9,3.6,2.7,2.8,3.0,2.9,3.2,2.9,3.0,2.6,2.0,,,
United Kingdom,12.5,17.9,19.7,17.7,14.0,15.4,17.3,19.2,20.8,19.7,22.8,34.8,28.0,32.1,36.4,44.2,50.9,43.6,43.8,37.5,25.4,31.6,44.0,50.7,42.6,23.2,9.3,9.0,10.5,6.4,4.2,,,
Norway,1.0,0.8,0.9,1.0,1.2,1.3,1.3,1.2,1.2,1.1,0.9,-0.2,-1.0,-1.6,-1.5,-0.6,-1.3,-2.3,-2.3,-1.7,-0.6,-0.3,-0.1,-1.0,-0.4,0.0,0.2,1.1,1.0,1.1,1.2,,,
Turkey,5.6,6.3,5.5,5.7,5.5,6.1,8.7,10.7,11.0,9.3,13.7,8.5,12.4,16.6,16.8,17.8,20.8,23.4,19.7,20.6,22.3,23.9,29.5,27.1,30.0,34.3,36.6,38.9,38.9,38.6,41.1,,,
CIS,-43.0,-21.9,-28.2,-17.7,-13.9,-9.0,-13.6,-20.0,-18.2,-26.6,-42.7,-44.6,-47.6,-56.7,-68.6,-84.6,-86.8,-90.8,-92.0,-109.1,-134.3,-119.5,-126.3,-139.9,-149.7,-143.7,-155.7,-169.0,-185.0,-185.4,-180.9,,,
Kazakhstan,-41.1,-40.5,-35.7,-28.9,-25.1,-18.8,-19.3,-23.4,-21.5,-15.3,-33.2,-30.5,-24.8,-30.3,-23.0,-22.8,-27.4,-25.1,-32.1,-27.7,-30.3,-29.4,-31.6,-32.8,-29.7,-29.0,-25.1,-28.3,-25.3,-24.2,-24.4,,,
Russia,-4.5,6.5,-3.7,0.7,2.6,-6.6,-7.7,-5.0,-5.1,-15.4,-14.3,-16.7,-26.6,-33.9,-50.2,-66.6,-67.6,-77.9,-69.7,-83.9,-109.4,-94.6,-103.3,-113.8,-131.1,-133.6,-149.4,-163.6,-184.4,-185.2,-177.1,,,
Ukraine,-11.6,-0.4,4.4,5.6,3.4,13.6,10.4,6.3,6.3,2.4,3.2,1.8,2.5,6.0,3.5,3.7,7.2,11.0,8.2,1.5,4.4,3.5,6.5,4.4,8.0,15.9,16.5,20.5,22.1,21.9,18.6,,,
Uzbekistan,2.5,2.5,1.2,0.5,0.6,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.9,0.9,0.8,0.9,1.3,1.4,1.5,,,
America,-110.8,-120.4,-105.8,-85.7,-84.1,-100.1,-104.5,-98.5,-90.3,-69.3,-67.0,-52.0,-38.9,-42.5,-48.6,-51.6,-52.1,-68.0,-89.5,-90.3,-111.3,-148.8,-176.7,-163.7,-150.5,-107.5,-108.0,-159.7,-162.5,-136.8,-94.7,,,
North America,-110.1,-116.8,-103.5,-80.0,-79.3,-96.6,-97.5,-88.6,-77.1,-56.0,-47.8,-28.9,-22.2,-20.2,-20.3,-22.2,-15.5,-31.0,-51.1,-49.1,-76.6,-108.7,-131.2,-129.2,-104.0,-79.1,-69.3,-104.3,-125.5,-106.7,-77.5,,,
Canada,-16.7,-21.3,-15.0,-19.7,-22.3,-23.8,-21.9,-21.6,-15.1,-13.4,-8.5,-5.5,-4.7,-5.7,-6.5,-6.2,-5.5,-11.3,-9.7,-15.1,-19.8,-23.7,-24.6,-29.9,-25.3,-21.6,-22.8,-22.4,-25.1,-27.4,-19.3,,,
United States,-93.4,-95.5,-88.6,-60.3,-57.0,-72.8,-75.6,-66.9,-62.0,-42.7,-39.3,-23.4,-17.5,-14.4,-13.8,-16.1,-9.9,-19.8,-41.4,-33.9,-56.8,-85.0,-106.6,-99.3,-78.7,-57.5,-46.4,-81.9,-100.4,-79.3,-58.2,,,
Latin America,-0.7,-3.6,-2.2,-5.6,-4.9,-3.6,-7.0,-10.0,-13.1,-13.3,-19.2,-23.1,-16.7,-22.3,-28.4,-29.4,-36.6,-36.9,-38.4,-41.2,-34.6,-40.1,-45.5,-34.5,-46.5,-28.4,-38.8,-55.4,-36.9,-30.1,-17.1,,,
Argentina,1.2,0.8,1.1,1.0,1.4,1.2,1.2,1.0,1.0,0.8,0.6,0.6,0.7,0.7,1.4,1.5,1.5,1.9,2.0,1.3,1.9,2.3,1.9,1.8,2.2,2.2,1.8,1.7,1.9,0.8,0.7,,,
Brazil,10.7,11.8,11.4,12.1,12.8,13.6,14.6,14.6,14.6,13.9,14.8,14.6,15.1,16.1,16.1,15.4,14.9,16.4,17.2,13.1,17.7,20.1,18.1,19.9,22.2,22.6,20.6,22.7,22.8,20.2,17.1,,,
Chile,1.7,1.5,0.9,1.1,2.0,2.2,3.7,4.7,4.7,5.1,4.4,2.9,2.9,3.1,4.4,4.0,5.0,6.7,7.2,6.3,6.9,9.7,10.4,9.1,7.2,9.0,10.6,10.6,11.0,11.1,11.3,,,
Colombia,-13.6,-16.5,-14.8,-17.7,-18.5,-18.4,-24.9,-27.7,-30.2,-30.1,-35.6,-39.1,-36.7,-45.8,-51.2,-53.6,-62.0,-64.6,-67.8,-67.6,-69.8,-80.8,-85.1,-76.7,-89.1,-74.7,-85.1,-105.2,-86.7,-77.8,-57.2,,,
Mexico,0.3,0.1,0.8,0.8,0.9,1.3,1.3,1.8,1.8,2.7,3.1,3.8,6.3,7.8,4.7,7.7,8.0,5.6,4.8,6.2,8.1,7.5,7.0,7.9,8.0,8.4,9.4,11.4,10.4,10.8,6.8,,,
Venezuela,-1.5,-2.2,-2.3,-3.8,-4.1,-4.2,-3.6,-5.1,-5.9,-6.8,-7.9,-7.6,-7.3,-6.7,-6.7,-7.1,-6.7,-6.4,-4.7,-3.0,-2.5,-1.8,-0.9,-0.7,-0.9,-0.6,-0.7,-0.4,-0.2,-0.3,-0.2,,,
