,Coal and lignite domestic consumption (Mt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Back to list of tables
Globally/Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2019 - 2020 (%) ,2000 - 2020 (%/year) ,
World,4665,4583,4531,4511,4513,4659,4722,4706,4667,4566,4794,4880,5026,5442,5751,6101,6446,6783,6919,6954,7325,7737,7871,7995,7922,7733,7606,7724,7792,7644,7306,-4.4,2.1,
OECD,2334,2249,2182,2158,2151,2149,2214,2227,2212,2190,2277,2268,2277,2337,2347,2363,2372,2424,2368,2186,2268,2251,2172,2165,2128,2002,1907,1893,1832,1611,1355,-15.9,-2.6,
G7,1600,1519,1476,1463,1454,1452,1490,1497,1490,1480,1541,1531,1546,1586,1596,1608,1602,1632,1597,1434,1511,1465,1393,1427,1393,1267,1176,1151,1101,947,780,-17.6,-3.3,
BRICS,1761,1802,1830,1860,1919,2071,2096,2075,2051,1990,2091,2169,2296,2607,2903,3225,3528,3781,3959,4211,4463,4840,5057,5209,5164,5092,5033,5132,5220,5251,5202,-0.9,4.7,
Europe,1351,1243,1165,1104,1065,1052,1054,1023,992,932,973,978,970,998,988,972,992,1019,972,904,914,960,968,922,890,880,841,845,827,707,587,-17.0,-2.5,
European Union,1114,1012,942,904,879,862,864,830,788,750,772,780,782,804,796,770,776,791,744,686,699,732,734,705,684,679,644,645,621,502,408,-18.7,-3.1,
Belgium,17,16,14,14,14,14,13,12,12,11,12,11,10,9,9,8,8,7,7,5,6,5,5,5,5,5,5,5,5,4,4,-19.4,-5.7,
Czechia,85,79,74,72,67,66,66,65,59,52,62,60,58,59,58,57,57,59,55,52,52,53,50,48,46,46,46,46,45,41,33,-20.0,-3.1,
France,31,34,30,23,23,25,25,23,27,24,24,20,21,21,20,22,21,22,20,17,18,16,18,19,14,14,13,15,13,10,8,-19.1,-5.1,
Germany,449,368,328,306,289,274,273,260,248,236,244,249,253,255,253,244,245,254,240,226,232,236,247,247,239,239,231,222,216,168,138,-17.8,-2.8,
Italy,22,21,18,16,17,18,17,17,17,17,19,20,21,22,25,25,25,25,25,20,22,24,25,22,21,20,18,16,14,10,7,-25.9,-4.5,
Netherlands,13,11,11,11,13,14,14,14,14,12,13,13,13,14,14,13,12,13,13,12,12,12,13,13,15,18,16,15,13,10,6,-37.4,-3.4,
Poland,184,183,174,176,171,168,171,165,152,146,141,141,137,141,140,137,140,137,135,128,134,137,135,137,130,129,128,130,127,113,100,-11.5,-1.7,
Portugal,4,5,5,5,5,6,5,5,5,6,6,5,6,5,5,5,5,5,4,5,3,4,5,4,5,6,5,5,5,2,1,-54.6,-8.8,
Romania,47,40,44,45,44,45,45,38,31,28,32,34,35,38,36,36,41,40,40,35,33,39,36,27,27,28,25,27,26,24,17,-29.0,-3.2,
Spain,48,48,47,45,43,43,37,41,40,43,46,42,46,42,45,44,39,41,26,19,15,25,28,21,23,26,20,24,21,9,4,-56.5,-11.7,
Sweden,5,5,5,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,4,5,4,4,4,3,3,3,3,3,3,3,-12.2,-2.2,
United Kingdom,107,106,100,87,82,77,72,64,64,57,60,64,59,64,61,62,68,64,59,49,51,51,64,61,49,39,19,15,13,9,8,-8.3,-9.5,
Norway,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8,-1.5,
Turkey,54,58,60,55,59,61,66,73,78,76,81,73,66,64,65,77,84,99,99,100,95,101,99,84,97,93,107,112,122,125,109,-12.6,1.5,
CIS,659,616,581,507,445,429,401,357,348,350,355,345,344,360,349,349,365,363,392,349,368,389,404,380,356,350,348,347,368,364,337,-7.3,-0.3,
Kazakhstan,90,90,91,83,80,66,59,49,49,46,50,48,52,61,63,65,69,74,85,77,83,90,91,90,84,65,70,76,77,75,76,1.8,2.1,
Russia,388,366,342,292,259,263,264,234,225,231,232,226,220,223,215,213,219,210,227,203,212,221,232,207,199,222,215,214,227,229,205,-10.6,-0.6,
Ukraine,150,133,129,117,92,91,68,66,66,66,66,64,65,71,65,64,70,73,71,61,65,71,72,70,61,52,52,45,49,46,42,-6.9,-2.2,
Uzbekistan,9,9,7,5,5,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,4,6,5,4,5,5,7,7,7,2.0,3.9,
America,903,903,913,943,954,966,1010,1040,1048,1052,1094,1072,1080,1110,1118,1134,1127,1144,1134,1007,1069,1030,921,957,949,840,776,762,728,635,508,-19.9,-3.8,
North America,869,867,879,907,915,925,967,995,1004,1007,1046,1025,1033,1058,1066,1078,1068,1085,1076,954,1004,959,851,880,873,761,702,689,657,563,447,-20.6,-4.2,
Canada,49,51,53,50,52,53,54,57,60,59,64,63,62,63,60,59,59,64,58,50,51,49,44,43,42,39,39,39,32,31,28,-9.1,-4.0,
United States,819,816,826,856,862,872,913,937,944,947,983,962,970,995,1006,1018,1009,1021,1018,904,954,910,807,837,831,722,663,650,625,533,419,-21.3,-4.2,
Latin America,34,35,34,37,39,41,43,45,45,46,47,47,47,52,52,56,59,59,58,53,65,71,70,77,76,79,74,73,71,72,61,-14.6,1.3,
Argentina,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,1,1,-11.0,0.4,
Brazil,15,18,17,17,18,19,19,20,19,20,22,21,20,21,22,21,21,22,22,18,23,25,25,28,30,30,27,27,26,25,23,-11.6,0.1,
Chile,4,3,3,3,3,4,5,6,6,6,5,4,4,4,5,5,6,6,7,7,8,10,11,13,11,12,13,13,12,12,12,-3.8,4.7,
Colombia,5,5,5,6,6,6,5,5,5,4,5,5,5,5,4,4,4,4,4,5,4,5,4,6,6,6,6,5,5,7,8,14.1,2.3,
Mexico,7,7,7,9,10,11,13,12,13,13,13,15,16,19,17,22,23,21,19,19,24,26,23,24,23,24,22,22,21,21,14,-34.2,0.1,
Venezuela,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-34.4,-10.6,
Asia,1505,1572,1621,1702,1793,1943,1974,1991,1968,1927,2059,2171,2310,2641,2946,3296,3607,3896,4048,4333,4617,5016,5226,5395,5378,5323,5296,5430,5536,5615,5562,-0.9,5.1,
China,1005,1050,1090,1152,1226,1342,1344,1334,1314,1226,1304,1378,1492,1779,2043,2345,2609,2821,2920,3158,3350,3695,3832,3970,3837,3770,3718,3750,3770,3807,3830,0.6,5.5,
India,218,237,251,265,280,302,319,332,335,361,375,388,403,414,442,466,498,542,588,645,684,716,778,811,898,885,885,951,1010,1013,976,-3.7,4.9,
Indonesia,7,8,8,8,9,11,12,14,16,20,25,28,29,39,36,41,49,61,55,56,67,80,82,65,79,87,94,105,120,144,139,-3.7,9.0,
Japan,122,122,122,124,128,133,136,139,130,139,149,153,160,167,170,177,175,183,176,170,184,179,187,199,197,195,193,194,188,186,171,-8.0,0.7,
Malaysia,2,2,3,2,2,3,3,3,3,3,4,5,6,8,11,11,11,14,16,17,23,23,25,24,24,28,30,33,35,36,37,3.3,11.9,
South Korea,45,43,40,42,43,44,50,54,56,59,72,78,75,80,81,83,86,93,104,108,120,130,128,126,131,135,135,138,139,131,115,-12.4,2.4,
Taiwan,17,19,22,24,25,26,30,34,37,39,46,49,52,57,58,60,63,65,63,60,63,67,66,67,68,65,66,68,67,65,63,-2.0,1.6,
Thailand,13,15,16,17,19,21,25,26,22,22,22,25,25,25,28,30,30,32,34,33,36,37,36,38,36,36,35,36,34,34,35,3.1,2.4,
Pacific,96,100,103,101,102,104,112,117,127,130,130,131,133,134,140,142,145,144,144,148,136,131,131,119,114,119,121,117,108,106,102,-3.8,-1.2,
Australia,94,98,101,99,99,102,109,115,125,128,128,128,130,130,136,138,140,141,140,144,133,128,127,116,111,116,118,114,105,103,99,-3.7,-1.3,
New Zealand,2,2,3,2,2,2,2,2,2,2,2,3,3,4,4,4,4,3,4,3,3,3,4,3,3,3,3,3,3,3,3,-5.3,1.2,
Africa,146,144,142,145,147,156,161,167,171,164,170,169,175,184,194,192,194,200,213,197,204,194,203,205,216,204,208,208,211,204,196,-4.0,0.7,
Algeria,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,-6.6,-2.9,
Egypt,1,1,1,2,2,1,1,1,1,1,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,2,3,3,5,7,7,0.6,7.8,
Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.8,14.2,
South Africa,134,131,130,134,136,144,150,156,159,152,157,156,161,171,181,179,181,187,202,187,193,182,190,192,200,186,189,189,187,176,169,-4.2,0.4,
Middle-East,5,6,7,8,8,9,10,11,12,12,13,14,15,15,16,16,16,17,16,15,16,16,19,18,18,17,16,15,15,15,14,-6.5,0.4,
Iran,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3.4,1.9,
Kuwait,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-,-,
Saudi Arabia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,
United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,3,3,3,3,3,3,3,2,-9.5,-,
n.a. : non avalaible ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141 additional countries available in our Global Energy & CO2 Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source : Enerdata www.enerdata.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"© Copyright Enerdata www.enerdata.net. Reproduction and diffusion prohibited (web, photocopy, intranet...) without written permission.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
