,Electricity balance of trade (TWh),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Back to list of tables
Globally/Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,,,
OECD,15,10,2,2,0,3,6,6,8,5,1,11,18,14,15,16,15,0,7,9,11,1,-9,8,5,4,3,-19,1,-9,-26,,,
G7,4,2,-4,-3,-6,-10,-20,-14,-5,-6,-10,-7,-5,-17,-11,-6,-28,-21,-16,10,2,-8,-10,-19,-29,-38,-35,-46,-52,-39,-23,,,
BRICS,20,18,12,12,8,9,27,28,28,30,36,17,20,16,22,20,18,18,14,17,7,3,13,15,12,9,6,4,0,-17,-4,,,
Europe,25,9,8,6,6,6,7,5,2,4,4,10,11,10,6,10,12,10,14,8,12,14,8,9,5,4,7,5,12,19,19,,,
European Union,34,3,5,5,3,4,-18,-10,-12,-1,9,-3,7,-2,-12,7,0,11,12,17,5,1,7,-2,-5,-7,1,-5,9,4,20,,,
Belgium,-4,-2,0,2,4,4,4,3,1,1,4,9,8,6,8,6,10,7,11,-2,1,3,10,10,18,21,6,6,17,-2,0,,,
Czechia,-1,-3,-3,-2,0,0,0,-1,-2,-3,-10,-10,-11,-16,-16,-13,-13,-16,-11,-14,-15,-17,-17,-17,-16,-13,-11,-13,-14,-13,-10,,,
France,-45,-53,-54,-61,-63,-70,-69,-65,-58,-63,-69,-68,-77,-66,-62,-60,-63,-57,-48,-26,-31,-56,-45,-48,-67,-64,-42,-40,-63,-58,-45,,,
Germany,1,-1,-5,1,2,5,-5,-2,-1,1,3,4,10,-3,-3,-5,-17,-17,-20,-12,-15,-4,-21,-32,-34,-48,-51,-52,-49,-33,-19,,,
Italy,35,35,35,39,38,37,37,39,41,42,44,48,51,51,46,49,45,46,40,45,44,46,43,42,44,46,37,38,44,38,32,,,
Netherlands,9,9,9,10,11,11,11,13,12,18,19,17,16,17,16,18,21,18,16,5,3,9,17,18,15,9,5,4,8,1,-3,,,
Poland,-1,-3,-4,-2,-3,-3,-3,-2,-3,-5,-6,-7,-7,-10,-9,-11,-11,-5,-1,-2,-1,-5,-3,-5,2,0,2,2,6,11,13,,,
Portugal,0,0,1,0,1,1,1,3,0,-1,1,0,2,3,6,7,5,7,9,5,3,3,8,3,1,2,-5,-3,-3,3,1,,,
Romania,9,7,4,2,1,0,1,0,0,-1,-1,-1,-3,-2,-1,-3,-4,-2,-4,-2,-2,-2,0,-2,-7,-7,-5,-3,-3,2,4,,,
Spain,0,-1,1,1,2,4,1,-3,3,6,4,3,5,1,-3,-1,-3,-6,-11,-8,-8,-6,-11,-7,-3,0,8,9,11,7,3,,,
Sweden,-2,-1,-2,-1,0,-2,6,-3,-11,-7,5,-7,5,13,-2,-7,6,1,-2,5,2,-7,-20,-10,-16,-23,-12,-19,-17,-26,-25,,,
United Kingdom,12,16,17,17,17,16,17,17,13,14,14,10,8,2,7,8,8,5,11,3,3,6,12,14,21,21,18,15,19,21,18,,,
Norway,-16,-3,-9,-8,0,-7,9,4,4,-2,-19,4,-10,8,11,-12,1,-10,-14,-9,8,-3,-18,-5,-16,-15,-16,-15,-10,0,-20,,,
Turkey,-1,0,0,0,-1,-1,0,2,3,2,3,4,3,1,-1,-1,-2,-2,0,-1,-1,1,3,6,5,4,5,-1,-1,-1,-1,,,
CIS,-21,-8,-7,-13,-9,-9,-8,-9,-4,-7,-7,-7,-6,-10,-12,-16,-21,-18,-21,-18,-25,-30,-26,-23,-21,-17,-24,-24,-31,-31,-20,,,
Kazakhstan,17,15,14,6,13,7,7,5,4,3,3,2,0,-1,-2,0,0,0,0,-1,1,1,1,-1,-2,0,-1,-4,-3,-1,-1,,,
Russia,-8,-12,-16,-19,-20,-20,-19,-20,-18,-14,-14,-16,-13,-13,-8,-12,-16,-13,-18,-15,-17,-23,-16,-14,-8,-12,-15,-11,-13,-18,-13,,,
Ukraine,-28,-15,-5,-2,-1,-3,-2,0,-1,-3,-4,-3,-3,-5,-5,-8,-10,-9,-7,-4,-4,-6,-11,-10,-8,-1,-4,-5,-6,-4,-2,,,
Uzbekistan,-2,0,0,0,0,-1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,,,
America,0,2,2,-1,-1,1,0,1,1,1,-1,0,4,-3,0,1,2,2,2,3,1,1,3,7,8,7,4,-4,-2,-6,-49,,,
North America,2,4,3,1,1,2,0,-2,-1,0,-2,-1,3,0,1,1,0,0,1,0,1,0,0,6,8,7,3,-6,-4,-8,-9,,,
Canada,0,-18,-25,-27,-44,-36,-38,-36,-27,-29,-36,-23,-20,-7,-11,-23,-18,-31,-32,-34,-25,-37,-47,-52,-46,-60,-64,-62,-48,-47,-57,,,
United States,2,22,28,28,45,38,38,34,27,29,34,22,23,6,11,25,18,31,33,34,26,37,47,58,53,67,67,56,44,39,48,,,
Latin America,-1,-2,-2,-2,-2,-1,-1,2,2,1,1,1,1,-3,-1,0,2,1,1,3,0,1,2,1,0,0,1,2,2,2,-40,,,
Argentina,1,1,3,1,1,2,3,5,8,5,1,2,6,5,3,4,2,8,5,6,9,10,8,8,10,9,10,10,10,11,6,,,
Brazil,27,27,24,28,32,35,37,40,39,40,44,38,37,37,37,39,41,39,42,40,35,36,40,40,34,34,41,36,35,25,29,,,
Chile,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,,,
Colombia,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-2,-2,-2,-1,-1,-1,-1,-2,-1,-1,-1,0,0,0,0,2,5,,,
Mexico,-1,-1,-1,-1,-1,-1,0,1,1,1,1,0,0,-1,-1,-2,-1,-1,-1,-1,-1,-1,1,0,-1,-1,0,0,1,1,0,,,
Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,,,
Asia,0,0,0,1,5,1,4,1,0,1,1,1,1,1,2,1,4,4,2,5,7,8,10,12,10,13,7,9,9,-5,9,,,
China,2,3,5,4,-2,-5,-4,-7,-7,-9,-8,-8,-7,-7,-6,-6,-7,-10,-13,-11,-14,-13,-11,-11,-11,-12,-13,-13,-14,-16,-16,,,
India,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,2,3,5,6,5,6,5,5,4,1,0,-1,-2,-4,-3,1,,,
Indonesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,,,
Japan,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,,
Malaysia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-2,-2,-2,0,0,0,0,0,0,0,0,-1,-1,-1,-2,-2,,,
South Korea,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,,
Taiwan,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,,
Thailand,1,1,0,1,1,1,1,1,1,2,3,3,3,2,3,4,4,4,2,1,6,9,8,11,11,12,18,23,26,23,27,,,
Pacific,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,,
Australia,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,,
New Zealand,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,,
Africa,-2,-2,1,-2,0,0,17,18,14,14,13,3,2,2,2,2,4,5,5,5,3,5,8,9,8,7,5,8,6,1,3,,,
Algeria,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Egypt,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-2,0,0,-1,-1,0,0,0,0,0,,,
Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
South Africa,-1,-2,-1,-2,-3,-3,12,13,12,12,12,2,2,-2,-3,-2,-3,-3,-4,-2,-2,-3,-5,-5,-3,-2,-6,-7,-5,-5,-4,,,
Middle-East,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,1,-1,1,1,-2,-1,-1,0,-1,0,2,6,5,2,12,0,-2,,,
Iran,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,1,0,-1,0,-1,-2,-4,-4,-5,-7,-8,-6,-3,-2,-4,-4,-6,-7,,,
