,Electricity domestic consumption (TWh),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Back to list of tables
Globally/Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2019 - 2020 (%) ,2000 - 2020 (%/year) ,
World,10121,10438,10526,10714,10996,11337,11694,11967,12250,12599,13181,13397,13843,14390,15032,15685,16328,17137,17432,17337,18547,19125,19614,20232,20635,20981,21642,22270,23174,23430,23176,-1.1,2.9,
OECD,6653,6883,6939,7086,7301,7512,7719,7866,8052,8262,8602,8649,8823,8967,9171,9367,9443,9674,9662,9290,9715,9672,9654,9689,9654,9702,9813,9862,10048,9938,9582,-3.6,0.5,
G7,5236,5441,5474,5585,5737,5883,6039,6115,6253,6394,6621,6601,6723,6794,6913,7044,7050,7202,7149,6837,7132,7049,6993,7036,6993,6987,7019,7018,7157,7066,6788,-3.9,0.1,
BRICS,1993,2075,2099,2148,2193,2274,2370,2438,2477,2569,2719,2804,2993,3286,3604,3944,4375,4843,5084,5317,5872,6388,6733,7189,7518,7725,8143,8588,9153,9454,9586,1.4,6.5,
Europe,2515,2536,2531,2524,2558,2632,2716,2759,2818,2862,2952,3022,3057,3130,3204,3262,3313,3352,3385,3227,3375,3331,3343,3322,3258,3315,3363,3405,3419,3385,3253,-3.9,0.5,
European Union,1988,2002,1993,1984,2017,2066,2124,2157,2197,2229,2297,2359,2388,2455,2510,2542,2586,2608,2624,2497,2611,2567,2567,2542,2489,2532,2564,2589,2590,2562,2451,-4.3,0.3,
Belgium,59,62,64,65,68,70,71,73,76,76,79,80,80,82,84,84,86,86,86,80,86,84,84,84,83,83,84,84,84,83,82,-1.6,0.2,
Czechia,53,50,48,48,49,52,54,53,52,51,52,54,54,55,55,56,58,58,59,55,56,56,56,55,55,56,58,59,60,60,58,-3.4,0.5,
France,323,347,356,356,363,368,384,382,393,401,410,421,419,437,449,451,446,448,461,448,472,442,457,462,436,445,454,450,448,444,424,-4.5,0.2,
Germany,481,481,476,467,465,473,480,483,487,491,501,513,526,532,538,539,545,546,543,514,547,540,538,536,525,528,531,531,523,512,489,-4.5,-0.1,
Italy,219,224,228,229,237,243,246,254,261,267,279,285,291,300,304,310,318,319,319,300,310,314,307,297,291,297,296,302,303,302,286,-5.3,0.1,
Netherlands,74,76,78,79,83,84,87,90,94,96,99,101,102,104,106,108,110,112,113,109,112,113,109,110,107,110,111,112,114,114,111,-1.9,0.6,
Poland,109,103,98,99,100,104,107,109,109,107,109,109,108,111,115,116,121,125,127,122,129,132,133,134,136,139,144,146,151,150,145,-3.5,1.4,
Portugal,24,25,26,26,27,29,31,32,34,37,39,41,42,44,45,47,49,50,49,49,51,49,47,46,46,47,47,48,49,48,46,-4.5,0.8,
Romania,60,51,47,43,41,43,46,47,44,39,41,42,42,44,45,47,47,47,48,43,46,47,47,45,46,47,47,49,50,50,48,-3.4,0.8,
Spain,129,132,134,134,140,146,152,163,170,182,195,207,212,224,237,248,254,258,261,247,250,249,246,235,233,239,240,247,246,242,228,-5.8,0.8,
Sweden,131,132,130,131,130,132,132,132,133,133,135,139,137,135,135,135,135,136,133,128,137,129,132,129,127,129,132,132,132,128,123,-3.8,-0.5,
United Kingdom,284,291,291,296,292,304,320,321,325,332,340,343,344,347,348,357,354,351,350,330,338,326,325,324,311,311,311,307,307,302,286,-5.4,-0.9,
Norway,98,100,100,102,103,105,104,105,110,110,111,114,110,105,110,114,111,115,117,113,120,115,118,119,117,120,122,123,126,125,123,-1.5,0.5,
Turkey,47,49,54,59,61,67,74,82,88,91,98,97,103,112,121,130,143,155,162,157,172,186,195,198,207,217,231,249,258,257,259,0.5,5.0,
CIS,1417,1388,1289,1175,1058,1026,986,961,936,952,976,991,992,1026,1052,1080,1134,1164,1189,1131,1197,1219,1244,1238,1236,1231,1253,1271,1309,1316,1291,-1.9,1.4,
Kazakhstan,97,93,88,71,61,55,49,41,38,38,39,43,43,46,47,49,53,56,60,59,65,71,73,71,73,74,75,85,88,90,92,2.6,4.5,
Russia,917,899,838,782,707,697,681,668,650,669,693,700,699,721,739,760,798,821,843,808,851,856,875,872,877,877,898,905,926,930,906,-2.6,1.3,
Ukraine,230,224,208,182,158,149,134,129,122,118,116,122,123,129,135,138,144,149,148,134,148,152,150,148,134,124,124,121,122,120,116,-2.5,0.0,
Uzbekistan,46,46,43,42,40,39,40,40,40,41,42,38,38,37,37,37,39,41,40,39,39,40,41,41,43,44,45,47,55,56,57,2.9,1.6,
America,3661,3825,3861,3993,4113,4243,4351,4446,4583,4703,4890,4848,4960,5055,5160,5285,5324,5486,5498,5304,5540,5597,5590,5687,5734,5755,5788,5779,5974,5941,5741,-3.4,0.8,
North America,3154,3300,3316,3423,3514,3612,3705,3760,3861,3957,4103,4069,4156,4197,4258,4347,4344,4460,4438,4241,4414,4415,4358,4411,4442,4440,4463,4447,4615,4572,4398,-3.8,0.3,
Canada,441,446,451,460,467,476,484,490,488,498,514,514,524,535,542,535,526,538,531,516,520,530,527,539,547,545,541,561,572,575,556,-3.4,0.4,
United States,2713,2854,2866,2963,3047,3136,3221,3271,3374,3460,3590,3554,3632,3662,3716,3811,3818,3922,3907,3725,3894,3885,3831,3872,3895,3895,3922,3887,4043,3996,3842,-3.9,0.3,
Latin America,507,525,544,570,599,631,646,686,722,746,787,780,804,858,901,938,980,1026,1060,1063,1126,1182,1232,1276,1291,1315,1326,1332,1359,1370,1343,-1.9,2.7,
Argentina,40,42,45,49,52,56,59,63,69,71,75,76,75,80,85,89,95,100,105,105,111,116,118,121,126,132,132,129,129,126,124,-1.3,2.5,
Brazil,216,223,228,239,248,262,275,293,305,313,329,307,321,339,356,371,386,406,423,421,459,476,492,509,522,514,514,520,531,538,530,-1.6,2.4,
Chile,16,17,20,21,22,24,27,30,31,35,37,40,41,45,48,49,51,54,54,55,55,58,63,66,68,68,71,70,74,75,75,0.8,3.6,
Colombia,27,28,29,32,33,35,36,35,34,32,33,35,35,37,39,39,41,42,43,45,46,49,49,61,64,65,66,67,68,75,73,-2.9,4.0,
Mexico,100,103,106,110,118,123,111,120,129,137,148,151,155,177,187,195,199,208,215,211,221,239,253,247,257,262,274,276,287,282,274,-2.9,3.1,
Venezuela,47,50,54,56,56,57,59,60,61,60,63,66,67,66,72,73,77,78,80,83,84,87,90,99,74,84,73,70,67,64,62,-3.9,-0.1,
Asia,1887,2038,2160,2296,2510,2651,2797,2921,2992,3125,3366,3504,3739,4044,4427,4816,5249,5760,5964,6244,6879,7384,7767,8268,8610,8853,9347,9861,10476,10773,10904,1.2,6.1,
China,507,581,645,716,798,848,916,953,986,1044,1138,1241,1380,1605,1859,2126,2446,2817,2989,3223,3626,4052,4326,4718,4939,5103,5407,5784,6269,6549,6752,3.1,9.3,
India,212,232,247,266,290,310,315,334,351,360,369,375,399,425,451,482,534,580,616,661,723,788,831,883,968,1023,1103,1159,1207,1218,1191,-2.3,6.0,
Indonesia,28,31,35,39,45,50,57,64,65,71,79,85,87,90,100,108,113,122,129,136,147,158,174,188,199,203,216,223,256,268,266,-0.8,6.2,
Japan,775,798,806,814,867,884,904,915,925,946,986,970,988,982,1016,1040,1044,1077,1037,1004,1051,1012,1007,1005,989,965,965,980,961,934,905,-3.1,-0.4,
Malaysia,20,22,26,28,34,39,44,51,53,56,61,65,69,73,77,81,85,89,93,103,111,112,121,127,128,133,144,147,153,158,150,-4.7,4.6,
South Korea,94,104,115,128,147,163,182,201,193,214,263,282,301,318,338,358,371,393,408,415,458,481,493,498,499,507,530,538,545,538,526,-2.4,3.5,
Taiwan,79,87,93,101,109,116,123,132,143,149,164,167,176,185,195,203,210,217,214,206,222,227,226,230,236,235,240,245,250,249,254,2.3,2.2,
Thailand,38,43,49,56,63,71,77,82,80,81,88,92,100,107,115,121,128,133,135,135,149,149,162,164,169,174,185,185,188,194,188,-3.4,3.9,
Pacific,165,168,170,175,179,184,189,196,206,212,218,227,238,234,240,241,246,256,256,261,266,269,266,266,266,270,271,275,280,284,276,-2.7,1.2,
Australia,134,137,139,143,146,151,155,160,170,175,180,188,198,194,198,199,203,212,213,217,221,224,222,222,221,225,226,230,234,236,229,-2.8,1.2,
New Zealand,29,29,29,30,31,31,32,33,33,34,35,35,36,36,38,38,39,40,39,39,41,40,40,39,40,40,40,40,40,40,39,-2.1,0.6,
Africa,262,268,274,284,293,305,339,353,355,363,379,383,411,427,447,473,495,520,507,506,553,567,583,592,619,628,645,675,696,708,688,-2.9,3.0,
Algeria,14,14,15,15,16,16,17,17,19,20,21,22,23,25,26,30,29,31,33,31,36,41,46,49,53,57,60,64,66,71,67,-4.4,6.0,
Egypt,36,38,39,41,43,45,49,53,57,61,64,69,74,80,85,92,98,107,98,105,124,125,126,123,133,138,134,147,154,155,153,-1.0,4.4,
Nigeria,8,8,9,10,10,9,9,9,9,9,9,9,13,13,16,17,15,20,19,18,21,24,25,24,25,25,25,26,27,28,29,6.5,6.3,
South Africa,141,140,141,146,152,157,183,191,186,183,190,181,194,196,199,204,210,219,213,205,214,216,209,209,211,207,220,219,221,219,208,-4.8,0.4,
Middle-East,213,213,243,267,284,297,315,332,360,382,400,422,447,474,501,527,568,600,632,664,737,759,821,859,912,928,974,1004,1022,1024,1024,-0.1,4.8,
Iran,50,54,59,63,67,69,75,79,84,90,96,103,111,122,131,137,149,157,166,174,188,191,202,207,224,214,244,255,263,263,269,2.3,5.3,
Kuwait,14,8,13,16,18,18,19,20,22,23,24,26,27,26,28,32,33,33,35,36,38,39,42,42,44,48,50,53,54,55,54,-0.8,4.2,
Saudi Arabia,64,67,74,82,86,90,92,97,106,111,114,123,129,142,144,153,163,170,181,193,212,220,263,279,303,319,322,325,322,310,307,-1.1,5.1,
United Arab Emirates,14,15,16,18,20,21,23,26,31,36,38,38,41,43,45,53,58,71,73,77,85,90,96,102,108,115,117,122,123,126,124,-1.9,6.1,
n.a. : non avalaible ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141 additional countries available in our Global Energy & CO2 Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source : Enerdata www.enerdata.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"© Copyright Enerdata www.enerdata.net. Reproduction and diffusion prohibited (web, photocopy, intranet...) without written permission.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
