,LNG balance of trade (bcm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Back to list of tables
Globally/Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,,,
OECD,71.6,73.3,75.7,77.7,80.9,83.6,92.2,104.2,102.7,114.4,125.7,128.9,138.5,154.2,159.1,164.4,183.0,190.2,184.2,193.2,229.4,245.5,225.5,191.1,185.1,177.5,156.6,135.0,114.9,111.7,80.4,,,
G7,63.1,65.2,66.7,68.4,69.9,70.3,75.2,83.1,85.1,92.7,98.6,99.2,102.9,115.2,113.8,116.6,128.1,136.6,122.2,134.9,158.5,182.5,164.9,140.1,139.3,136.3,131.6,112.6,105.0,104.4,86.0,,,
BRICS,n.a.,n.a.,n.a.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,3.3,6.6,9.9,14.8,15.5,12.6,15.0,21.8,26.4,34.6,38.6,40.6,44.8,66.0,81.2,63.8,74.2,,,
Europe,n.a.,n.a.,n.a.,18.9,18.7,20.3,21.8,26.8,25.3,27.8,32.6,32.4,38.9,40.2,38.5,48.1,57.1,52.2,52.6,64.2,82.6,82.0,58.5,38.5,36.0,44.6,45.0,55.3,54.4,101.5,96.2,,,
European Union,n.a.,n.a.,n.a.,18.9,18.4,19.0,19.3,23.8,21.9,24.5,28.3,27.5,34.1,35.7,34.4,42.8,48.3,45.1,48.0,50.7,59.7,54.3,41.4,27.6,22.5,29.6,34.1,44.0,47.3,83.1,76.8,,,
Belgium,4.0,4.3,4.6,4.4,4.2,4.6,4.2,4.5,4.2,4.1,4.3,2.4,3.5,3.1,2.8,3.2,4.1,2.7,2.9,6.2,5.7,4.7,1.9,1.5,1.1,2.3,1.0,1.1,2.4,6.5,6.4,,,
Czechia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
France,8.7,8.6,8.8,8.5,7.6,7.1,7.5,9.4,9.5,9.8,9.4,9.3,13.3,12.5,9.4,12.0,12.9,11.3,10.2,10.8,13.3,13.7,9.2,7.1,5.8,5.2,6.6,9.2,8.1,19.2,16.2,,,
Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Italy,0.0,0.1,0.6,0.3,0.2,0.0,0.0,1.9,2.1,3.1,4.7,4.7,3.5,3.5,2.1,2.5,3.2,2.4,1.6,2.9,8.9,8.9,7.3,5.6,4.6,5.8,6.2,7.9,8.7,13.6,13.0,,,
Netherlands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,1.0,0.9,1.1,2.4,1.7,1.4,5.2,10.2,9.3,,,
Poland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.1,1.8,2.7,3.5,3.4,,,
Portugal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.4,0.5,1.4,1.7,2.1,2.8,2.7,2.7,2.8,2.9,2.2,1.9,1.2,1.5,1.6,3.7,3.8,5.6,5.4,,,
Romania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Spain,4.3,5.1,5.6,5.7,6.4,7.3,7.5,7.9,6.2,7.4,9.0,10.3,12.8,15.5,18.3,23.0,25.4,25.0,29.6,27.2,27.8,23.0,18.5,9.9,7.9,11.1,13.6,16.2,14.1,21.4,20.1,,,
Sweden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.3,,,
United Kingdom,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.6,1.4,0.8,10.3,19.0,25.3,13.8,9.4,11.3,13.6,10.4,6.7,7.1,18.5,18.3,,,
Norway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-1.7,-2.9,-4.4,-4.1,-4.6,-4.5,-5.1,-6.3,-7.2,-6.1,-11.2,-12.8,-12.5,,,
Turkey,0.0,0.0,0.0,0.0,0.4,1.3,2.5,3.0,3.3,3.3,4.3,4.8,4.9,4.6,4.1,4.8,5.3,5.8,5.5,6.2,8.2,6.5,7.9,6.1,7.3,7.6,7.6,10.8,11.3,12.7,13.5,,,
CIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.4,-12.0,-13.8,-13.3,-12.8,-13.3,-12.9,-13.9,-13.7,-19.2,-51.1,-53.2,,,
Kazakhstan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Russia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.4,-12.0,-13.8,-13.3,-12.8,-13.3,-12.9,-13.9,-13.7,-19.2,-51.1,-53.2,,,
Ukraine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Uzbekistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
America,n.a.,n.a.,n.a.,0.5,-0.5,-1.3,-0.9,0.3,0.4,1.5,0.1,0.9,-0.7,1.0,2.8,2.3,-2.1,4.3,-6.5,-1.7,4.2,0.9,-0.6,2.0,3.6,3.8,-5.4,-20.0,-31.3,-51.8,n.a.,,,
North America,1.1,0.4,-0.2,0.5,-0.5,-1.3,-0.9,0.3,0.4,2.8,4.4,4.7,4.8,12.8,16.7,16.1,14.9,20.7,8.9,13.0,13.0,11.7,6.3,3.8,1.7,2.8,-2.0,-20.3,-23.7,-45.1,-56.1,,,
Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.1,3.4,1.7,1.0,0.6,0.6,0.3,0.3,0.5,0.5,0.7,,,
United States,1.1,0.4,-0.2,0.5,-0.5,-1.3,-0.9,0.3,0.4,2.8,4.4,4.7,4.8,12.8,16.7,16.1,14.9,20.7,8.9,12.0,10.9,8.4,4.6,2.7,1.2,2.2,-2.3,-20.6,-24.3,-45.6,-56.8,,,
Latin America,n.a.,n.a.,n.a.,0.0,0.0,0.0,0.0,0.0,0.0,-1.2,-4.3,-3.8,-5.6,-11.7,-13.9,-13.8,-17.0,-16.3,-15.4,-14.7,-8.8,-10.8,-6.9,-1.7,1.8,1.0,-3.4,0.3,-7.5,-6.7,n.a.,,,
Argentina,n.a.,n.a.,n.a.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,1.8,3.9,4.5,6.3,5.9,5.4,4.6,4.5,3.5,1.7,1.9,,,
Brazil,n.a.,n.a.,n.a.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.6,0.9,3.6,5.4,7.2,6.3,2.1,2.3,2.6,3.2,3.2,,,
Chile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,3.0,3.7,3.9,3.7,3.5,3.7,4.3,4.2,3.4,5.0,4.9,,,
Colombia,n.a.,n.a.,n.a.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,,,
Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,2.6,3.5,3.4,5.6,4.0,4.8,7.3,8.6,6.8,5.1,8.7,3.4,4.1,3.6,,,
Venezuela,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,,
Asia,n.a.,n.a.,n.a.,13.8,15.4,18.7,18.8,23.3,24.9,29.8,36.2,43.4,42.3,49.9,54.0,57.2,76.7,92.7,99.5,98.9,117.4,152.6,167.4,167.4,172.1,168.3,185.1,214.4,244.9,260.7,272.2,,,
