,Natural gas balance of trade (bcm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Back to list of tables
Globally/Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,,,
OECD,172.0,174.2,175.6,178.5,184.8,203.1,218.2,228.5,236.2,268.5,283.8,283.3,296.4,318.7,333.7,355.3,380.3,389.3,389.4,374.1,407.5,419.3,398.4,383.1,360.6,354.8,365.0,350.9,335.9,320.0,250.4,,,
G7,172.9,179.7,182.7,185.3,186.5,196.0,216.4,216.4,214.6,233.6,237.7,234.6,245.8,255.3,277.3,292.5,310.1,320.5,322.7,318.4,339.9,341.9,334.7,317.3,288.8,279.5,293.9,273.7,257.2,228.2,187.1,,,
BRICS,-176.8,-174.6,-185.1,-161.6,-179.3,-183.9,-191.3,-195.6,-199.4,-200.1,-177.9,-171.5,-173.1,-174.0,-179.8,-182.3,-174.1,-156.2,-157.8,-135.0,-143.5,-135.1,-113.6,-118.3,-85.5,-92.9,-95.9,-91.5,-79.0,-82.3,-69.3,,,
Europe,143.8,141.0,137.0,132.5,135.7,155.9,166.0,167.0,174.8,190.4,200.5,197.6,204.4,215.9,225.8,250.1,264.3,261.5,269.5,250.8,268.8,267.2,241.8,239.4,218.7,230.1,257.9,286.5,291.9,326.7,312.9,,,
European Union,153.7,150.8,148.0,144.8,151.4,172.3,190.5,195.4,204.6,226.1,241.3,237.2,254.9,269.2,272.3,293.0,301.4,286.2,296.8,280.9,289.0,280.2,265.4,255.7,238.5,260.1,283.0,312.9,316.7,349.9,335.2,,,
Belgium,9.6,10.2,10.7,11.1,11.5,12.6,14.4,13.6,15.0,16.3,16.0,16.1,16.6,17.3,17.8,18.0,18.2,18.2,18.2,18.2,20.5,17.9,17.7,18.2,16.0,17.1,17.5,17.5,18.3,18.8,18.5,,,
Czechia,6.0,6.9,6.8,7.0,7.2,7.9,9.3,9.4,9.3,9.2,9.2,9.5,9.7,9.5,8.7,9.3,9.7,8.3,8.7,8.6,8.4,9.2,7.5,8.5,7.2,7.5,8.1,8.9,8.0,9.5,7.6,,,
France,27.9,29.5,30.6,29.1,30.2,31.7,34.4,34.0,34.4,39.9,40.3,39.3,41.2,42.4,43.9,47.0,44.7,42.9,45.2,44.9,45.8,43.6,42.1,43.2,38.4,39.1,42.8,42.6,43.4,44.0,37.1,,,
Germany,53.1,55.6,56.8,60.6,63.0,67.1,76.0,72.7,70.0,71.3,70.4,72.1,74.0,71.2,76.1,73.9,77.5,70.9,75.7,74.4,73.6,72.0,71.4,75.8,67.6,70.0,77.7,80.1,78.9,81.8,80.6,,,
Italy,30.5,33.0,33.9,32.1,29.1,34.3,37.0,39.0,42.6,49.4,57.4,54.7,59.2,62.4,67.5,73.1,77.0,73.9,76.7,69.1,75.2,70.2,67.6,61.7,55.5,61.0,65.1,69.4,67.5,70.6,65.9,,,
Netherlands,-33.2,-38.1,-39.9,-40.2,-37.0,-36.8,-43.1,-35.2,-31.7,-27.3,-24.0,-28.1,-25.7,-22.6,-34.7,-29.2,-29.5,-29.6,-35.3,-29.9,-33.8,-33.3,-35.5,-40.5,-30.4,-14.6,-13.7,-1.9,6.4,11.4,19.7,,,
Poland,8.3,7.0,6.5,5.7,6.1,7.1,7.7,8.1,7.9,7.6,8.1,8.7,8.2,9.2,9.9,10.4,10.9,10.1,11.2,9.9,10.8,11.8,12.2,12.4,11.7,12.1,13.8,14.5,15.1,17.0,16.7,,,
Portugal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.8,2.3,2.3,2.6,3.1,3.0,3.8,4.5,4.2,4.3,4.8,4.9,5.2,5.2,4.5,4.4,4.1,4.7,4.9,6.3,5.8,6.1,5.9,,,
Romania,7.3,4.6,4.5,4.5,4.6,6.0,7.0,5.0,4.7,3.2,3.4,2.9,3.8,5.3,5.1,5.3,6.0,4.9,4.4,2.0,2.3,3.1,2.9,1.5,0.6,0.2,1.5,1.2,1.5,2.8,2.1,,,
Spain,4.3,5.1,5.6,5.9,7.5,8.7,9.6,13.3,13.9,16.1,17.9,18.3,21.9,24.5,28.4,34.9,36.6,36.4,40.7,35.5,35.6,33.8,32.3,29.7,28.2,27.3,28.4,31.7,31.6,36.0,31.3,,,
Sweden,0.7,0.7,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,1.0,1.0,1.0,0.9,1.0,1.0,0.9,1.2,1.6,1.3,1.1,1.1,0.9,0.8,0.9,1.0,1.1,1.1,1.2,,,
United Kingdom,7.2,6.4,5.6,3.9,2.2,0.7,0.3,-0.7,-2.0,-6.6,-11.0,-9.7,-8.2,-8.3,1.7,7.0,11.3,19.5,26.0,30.3,40.1,38.7,38.8,40.3,33.3,31.3,38.0,35.8,39.5,39.2,35.1,,,
Norway,-25.4,-25.2,-25.7,-24.7,-26.5,-27.6,-37.9,-42.3,-42.6,-45.5,-48.5,-50.5,-64.4,-71.1,-76.3,-82.5,-84.6,-85.9,-96.2,-100.7,-103.7,-100.3,-113.4,-107.2,-106.7,-114.7,-114.6,-123.2,-120.1,-113.2,-110.8,,,
Turkey,3.3,4.0,4.4,5.0,5.3,6.9,8.0,9.6,9.9,12.0,14.4,15.8,17.1,20.6,21.7,26.6,30.2,35.8,36.7,35.1,37.4,43.2,45.3,44.6,48.6,47.8,45.7,54.6,49.6,44.4,47.3,,,
CIS,-109.3,-110.0,-98.8,-107.6,-108.8,-118.6,-124.1,-121.5,-126.9,-130.9,-137.5,-135.2,-138.8,-142.9,-157.7,-168.0,-170.0,-169.0,-173.2,-148.7,-165.3,-182.1,-197.7,-227.3,-223.6,-242.3,-254.8,-269.6,-295.1,-304.9,-295.5,,,
Kazakhstan,6.1,4.7,10.3,6.3,5.5,6.6,3.2,0.6,0.7,-1.3,-1.0,-1.3,-2.3,-2.3,-5.6,-4.2,-2.6,-1.4,0.0,-4.5,-2.7,-1.6,-6.4,-5.1,-15.9,-15.7,-14.8,-19.4,-16.9,-14.3,-12.4,,,
Russia,-176.8,-174.6,-185.1,-161.6,-179.3,-183.9,-189.7,-193.0,-197.0,-197.8,-177.7,-173.7,-175.3,-177.6,-190.2,-196.2,-192.4,-181.3,-184.3,-162.6,-183.4,-193.2,-185.2,-203.7,-181.0,-191.9,-204.2,-219.4,-235.7,-248.3,-241.8,,,
Ukraine,90.7,91.7,89.3,76.4,66.2,63.5,70.4,61.0,53.0,58.8,56.4,55.9,54.6,58.4,58.1,57.5,50.2,49.2,51.7,37.3,36.0,44.0,32.4,27.5,19.1,16.2,10.7,13.7,10.3,11.5,6.3,,,
Uzbekistan,-0.6,-0.7,-1.0,-1.6,-2.8,-4.2,-4.9,-7.1,-4.2,-3.6,-5.2,-5.5,-3.7,-6.0,-8.7,-11.3,-12.7,-14.4,-14.8,-17.4,-13.0,-9.1,-15.2,-12.4,-10.7,-12.0,-11.7,-10.2,-14.9,-12.2,-2.7,,,
America,1.0,0.5,0.3,0.6,0.1,-1.1,0.5,0.7,-2.1,2.0,-1.0,-2.0,0.2,-1.4,1.3,1.3,-1.3,4.1,-6.7,-3.9,1.8,-2.7,-2.7,-0.5,1.2,0.9,-5.7,-28.8,-41.0,-59.4,-72.0,,,
North America,1.0,-0.8,-1.7,0.4,-0.6,-2.3,0.0,-0.1,-3.5,2.7,0.7,-2.0,-1.8,1.1,2.4,5.9,6.0,12.4,-1.4,1.6,1.0,-5.5,-13.3,-17.9,-21.8,-30.7,-39.9,-63.3,-76.9,-105.2,-126.2,,,
Canada,-40.0,-47.4,-56.2,-62.2,-70.4,-78.4,-78.9,-80.5,-88.4,-94.3,-99.6,-104.3,-101.1,-91.8,-94.4,-96.7,-92.4,-95.2,-87.4,-74.6,-73.0,-61.4,-57.0,-55.8,-56.1,-58.6,-61.6,-59.8,-56.6,-51.0,-47.6,,,
United States,41.0,46.6,54.5,62.6,69.8,76.2,78.9,80.4,84.8,97.0,100.3,102.2,99.4,92.8,96.8,102.7,98.4,107.6,86.0,76.2,74.0,55.9,43.6,37.8,34.3,28.0,21.7,-3.6,-20.3,-54.2,-78.7,,,
Latin America,0.0,1.3,2.1,0.2,0.7,1.2,0.5,0.8,1.4,-0.7,-1.7,0.0,1.9,-2.5,-1.1,-4.6,-7.2,-8.3,-5.3,-5.5,0.8,2.8,10.7,17.4,23.0,31.6,34.2,34.5,35.9,45.9,54.2,,,
Argentina,2.2,2.2,2.0,1.7,2.2,2.1,2.1,1.0,-0.3,-3.0,-4.6,-5.9,-5.8,-6.7,-5.6,-5.1,-4.8,-0.9,0.4,1.5,3.1,6.6,8.9,11.2,12.3,11.3,10.9,11.3,9.3,6.5,7.2,,,
Brazil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.2,4.7,5.4,5.1,8.2,9.1,9.9,10.4,11.5,8.6,12.8,10.6,13.3,17.1,19.5,18.6,11.8,10.8,10.4,9.6,9.4,,,
Chile,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.7,2.0,3.8,4.4,5.2,5.2,6.1,6.8,6.3,5.7,2.8,0.8,1.5,3.6,4.0,3.9,3.9,3.5,3.7,4.0,4.0,3.9,5.1,5.1,,,
Colombia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,-1.9,-1.6,-2.1,-1.9,-2.2,-1.0,-0.4,0.0,0.0,0.0,0.3,0.3,,,
Mexico,0.4,1.7,2.6,0.9,1.1,1.6,0.5,0.7,1.2,0.3,2.7,3.7,7.5,10.3,11.6,9.1,10.2,9.9,12.3,12.7,14.4,17.6,23.1,26.8,28.8,36.4,43.0,43.3,46.8,56.9,42.9,,,
Venezuela,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.2,1.5,1.9,1.9,1.6,1.9,0.8,0.4,0.0,0.0,0.0,0.0,0.0,,,
