,Natural gas domestic consumption (bcm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Back to list of tables
Globally/Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2019 - 2020 (%) ,2000 - 2020 (%/year) ,
World,2059,2111,2105,2144,2150,2202,2288,2325,2353,2431,2515,2541,2622,2713,2801,2870,2941,3061,3136,3062,3335,3390,3458,3489,3493,3543,3628,3730,3924,4006,3951,-1.4,2.3,
OECD,1039,1067,1086,1135,1162,1219,1283,1314,1321,1359,1411,1394,1434,1446,1471,1482,1486,1543,1562,1520,1625,1622,1652,1650,1621,1649,1693,1712,1801,1832,1787,-2.5,1.2,
G7,865,886,902,943,965,1010,1053,1077,1074,1101,1140,1110,1136,1131,1137,1137,1130,1176,1184,1148,1217,1218,1251,1247,1233,1256,1289,1286,1372,1397,1363,-2.4,0.9,
BRICS,506,522,501,489,457,440,437,428,435,445,456,469,475,503,523,534,557,586,595,589,676,700,712,729,748,739,752,806,881,909,911,0.2,3.5,
Europe,382,395,387,397,400,427,467,463,476,493,505,519,522,544,559,575,573,573,587,554,600,553,537,528,482,500,527,550,541,547,532,-2.8,0.3,
European Union,312,320,311,314,315,336,362,354,362,372,379,392,394,412,422,436,435,428,439,416,449,413,402,393,351,366,386,403,398,411,398,-3.2,0.2,
Belgium,10,10,11,11,11,13,14,13,15,16,16,16,16,17,18,17,18,18,18,21,23,21,19,19,17,19,18,18,19,19,19,0.6,1.0,
Czechia,7,6,7,7,7,8,9,9,9,10,9,10,10,10,10,9,9,9,9,8,9,8,8,8,8,8,8,9,8,9,9,1.6,-0.2,
France,28,32,32,33,33,33,37,37,37,39,40,42,42,44,45,47,45,44,46,45,48,41,43,43,36,39,43,43,41,42,39,-7.3,-0.1,
Germany,70,73,72,75,78,83,90,85,89,89,88,92,91,90,90,91,93,90,93,86,95,86,86,88,79,81,89,91,92,95,93,-2.4,0.3,
Italy,47,50,50,51,50,54,56,58,62,68,71,71,70,78,81,86,84,85,85,78,83,78,75,70,62,68,71,75,73,74,71,-4.4,0.0,
Netherlands,44,49,48,49,48,49,54,51,50,49,49,50,50,50,51,50,48,47,49,50,56,49,47,47,41,41,42,44,43,44,44,-1.9,-0.6,
Poland,12,11,11,11,11,12,13,13,13,12,13,14,13,15,16,16,16,16,16,16,17,17,18,18,18,18,19,20,20,21,22,3.2,2.4,
Portugal,0,0,0,0,0,0,0,0,1,2,2,3,3,3,4,4,4,4,5,5,5,5,4,4,4,5,5,6,6,6,6,-0.7,4.9,
Romania,36,29,26,25,24,24,24,21,19,17,17,17,17,18,17,17,18,16,16,13,14,14,14,13,12,11,11,12,12,11,12,5.3,-1.9,
Spain,6,6,7,7,7,9,10,13,13,15,18,19,22,25,28,34,36,37,40,36,36,33,32,30,27,28,29,31,31,35,32,-9.9,3.0,
Sweden,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3.2,2.2,
United Kingdom,58,63,62,69,71,75,88,89,92,98,102,101,100,101,103,100,95,96,99,92,99,83,78,77,71,73,81,79,80,78,73,-6.2,-1.7,
Norway,2,2,4,4,4,4,3,4,5,5,4,5,5,5,5,5,5,5,6,6,7,6,6,6,6,6,6,6,7,7,6,-9.0,2.0,
Turkey,3,4,5,5,5,7,8,10,10,13,15,16,18,21,22,27,31,37,37,35,38,45,45,46,49,48,46,54,50,45,48,6.8,6.0,
CIS,704,716,679,651,601,573,570,547,546,563,569,577,580,607,619,624,635,647,651,603,663,680,663,655,631,602,602,623,660,665,644,-3.2,0.6,
Kazakhstan,13,13,18,13,10,12,10,9,9,9,8,6,8,10,12,15,18,20,23,22,26,25,25,27,15,15,15,16,16,18,16,-8.8,3.7,
Russia,472,486,462,448,414,393,389,374,378,386,391,396,396,417,422,425,436,445,446,426,466,476,471,466,465,445,444,463,499,501,484,-3.3,1.1,
Ukraine,113,115,106,99,88,82,89,79,71,77,74,74,73,78,79,78,69,69,65,51,57,58,53,49,41,33,32,31,31,28,29,5.2,-4.6,
Uzbekistan,40,41,41,44,45,42,44,44,49,50,53,54,55,53,54,51,55,54,56,51,56,58,50,49,46,44,46,49,48,50,48,-4.8,-0.5,
America,681,687,706,738,757,788,815,844,840,848,890,858,892,890,903,904,904,945,955,937,995,1019,1066,1084,1107,1127,1131,1128,1225,1250,1213,-2.9,1.6,
North America,601,603,621,649,664,691,707,730,713,721,753,717,742,726,727,722,712,752,755,741,780,800,835,851,866,882,889,884,978,1006,988,-1.7,1.4,
Canada,67,68,71,74,77,81,85,86,83,87,92,87,91,95,93,99,98,98,96,94,97,108,107,111,116,115,112,114,122,123,117,-4.6,1.2,
United States,534,536,550,574,586,609,622,644,630,634,661,630,651,631,634,623,614,654,659,647,683,693,728,739,750,767,777,770,856,883,871,-1.3,1.4,
Latin America,80,83,85,90,93,97,107,114,127,127,137,141,150,164,176,182,192,193,199,196,215,219,231,234,241,245,242,244,247,245,225,-7.8,2.5,
Argentina,21,21,22,23,24,26,29,29,32,35,37,36,35,39,42,44,45,45,46,44,45,46,49,49,50,51,51,52,52,52,49,-5.9,1.4,
Brazil,4,4,4,5,5,5,6,6,7,7,10,12,15,15,19,20,21,22,26,21,28,28,33,39,42,42,36,38,36,36,33,-7.6,6.4,
Chile,1,1,1,1,1,1,1,2,3,5,6,7,7,8,8,8,7,4,3,3,5,6,5,5,4,4,5,5,5,6,5,-6.4,-0.8,
Colombia,4,4,4,5,5,5,5,7,8,7,7,8,8,7,8,8,8,8,9,10,11,10,10,11,11,11,12,11,11,11,12,8.6,2.3,
Mexico,26,28,28,30,31,31,33,35,40,39,42,42,48,54,56,55,62,65,67,67,70,73,76,73,75,78,80,82,85,86,78,-9.3,3.2,
Venezuela,17,18,18,19,19,21,24,24,25,22,23,22,22,23,23,24,23,22,22,21,23,21,23,23,22,23,23,23,24,21,18,-16.0,-1.3,
Asia,147,163,172,181,198,211,228,249,259,276,290,307,325,352,375,393,424,457,472,487,558,590,619,633,652,658,685,713,772,795,804,1.1,5.2,
China,16,16,16,17,18,18,19,20,20,21,25,28,29,35,41,47,57,70,81,89,125,131,147,167,184,192,208,238,280,304,326,7.2,13.8,
India,13,14,17,17,18,21,22,26,28,28,29,30,32,35,37,39,39,44,38,48,53,60,55,52,52,55,58,62,62,63,63,-1.4,3.9,
Indonesia,17,19,20,21,26,29,30,33,36,35,31,33,35,36,34,33,36,30,33,39,44,41,41,42,43,43,42,40,44,44,39,-11.3,1.1,
Japan,60,64,65,67,70,73,76,78,80,85,88,87,89,92,92,91,100,109,107,106,111,130,135,118,119,114,116,113,108,103,100,-3.1,0.7,
Malaysia,8,12,13,12,15,14,17,20,20,23,27,29,29,30,32,37,39,41,45,38,37,37,38,45,45,44,42,38,46,47,43,-7.9,2.4,
South Korea,3,4,5,6,8,9,12,15,14,17,19,21,23,24,29,30,32,35,36,34,43,46,50,53,47,44,47,49,54,52,53,1.1,5.3,
Taiwan,2,3,3,3,4,4,4,5,6,6,6,7,8,8,9,9,9,10,11,11,13,15,15,16,16,18,18,20,20,20,22,8.5,6.4,
Thailand,6,8,8,10,11,11,13,16,17,19,22,26,28,30,31,33,34,36,40,37,42,39,45,48,48,48,47,45,46,46,42,-8.5,3.3,
Pacific,23,22,23,23,24,25,26,26,27,28,29,30,32,30,30,30,30,34,35,36,37,37,38,41,42,42,43,44,46,47,46,-3.0,2.3,
Australia,18,17,17,18,19,20,20,20,21,21,23,24,26,25,26,25,26,29,30,31,32,32,34,36,37,37,38,39,40,41,40,-3.2,2.9,
New Zealand,5,5,6,5,5,5,6,6,5,6,6,6,6,5,4,4,4,4,4,4,5,4,5,5,5,5,5,5,5,5,5,-0.9,-1.3,
Africa,35,38,39,43,43,45,46,48,50,55,57,64,69,76,79,90,96,103,104,102,108,117,124,123,127,134,139,154,160,164,159,-3.3,5.3,
Algeria,14,15,16,17,16,17,17,18,18,20,20,20,21,23,23,24,25,26,26,28,27,30,34,35,38,41,41,42,46,47,44,-7.0,4.1,
Egypt,8,9,10,12,12,13,13,13,14,17,18,23,26,29,28,37,39,43,45,44,44,48,48,46,43,45,51,61,62,62,61,-2.7,6.4,
Nigeria,4,5,5,6,5,5,5,6,6,7,8,7,8,11,11,11,12,12,11,10,11,15,15,15,17,17,17,17,18,18,19,3.6,4.6,
South Africa,2,2,2,2,2,2,2,2,1,2,2,2,2,1,3,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,5,-0.7,5.3,
Middle-East,86,91,100,112,126,133,137,148,157,168,174,186,201,214,235,255,279,302,332,343,374,395,411,424,451,481,500,518,521,537,554,3.0,5.9,
Iran,21,26,27,31,38,42,42,47,51,59,62,66,74,82,93,99,109,123,130,136,144,153,152,153,172,184,197,207,208,212,221,4.2,6.5,
Kuwait,6,1,5,9,9,9,9,9,9,9,10,10,9,10,11,12,12,12,13,12,15,17,18,18,18,21,22,23,23,25,27,11.7,5.4,
Saudi Arabia,24,24,27,28,30,30,31,33,34,34,38,39,46,47,51,56,59,61,67,64,73,75,81,82,85,87,91,95,97,97,97,0.6,4.9,
United Arab Emirates,17,20,19,20,23,25,27,29,30,31,30,36,36,37,40,42,43,48,58,57,61,63,66,67,66,74,75,75,74,78,77,-1.7,4.8,
n.a. : non avalaible ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141 additional countries available in our Global Energy & CO2 Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source : Enerdata www.enerdata.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"© Copyright Enerdata www.enerdata.net. Reproduction and diffusion prohibited (web, photocopy, intranet...) without written permission.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
