,Oil products domestic consumption (Mt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Back to list of tables
Globally/Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2019 - 2020 (%) ,2000 - 2020 (%/year) ,
World,3094,3121,3135,3134,3165,3237,3319,3429,3469,3542,3565,3592,3593,3653,3809,3852,3894,3945,3899,3798,3906,3899,3946,3994,4034,4113,4155,4229,4275,4292,3907,-9.0,0.5,
OECD,1794,1805,1843,1859,1910,1924,1971,2029,2051,2077,2065,2079,2039,2068,2102,2099,2070,2049,1960,1867,1896,1832,1813,1804,1785,1814,1828,1833,1831,1817,1614,-11.2,-1.2,
G7,1391,1386,1407,1413,1440,1444,1477,1523,1548,1566,1547,1560,1521,1539,1566,1559,1531,1501,1421,1345,1369,1315,1298,1296,1286,1300,1298,1295,1298,1293,1136,-12.1,-1.5,
BRICS,486,505,493,488,459,486,494,516,525,550,572,576,588,614,669,677,712,745,766,767,805,835,871,901,935,975,989,1034,1055,1101,1088,-1.3,3.3,
Europe,649,655,653,647,651,662,679,679,689,679,667,678,674,680,681,679,678,658,650,615,611,588,571,559,551,566,573,584,573,570,507,-11.1,-1.4,
European Union,524,532,531,524,529,539,550,552,564,555,545,556,551,556,555,553,550,533,527,496,492,474,456,444,438,445,448,455,448,448,398,-11.2,-1.6,
Belgium,18,19,20,19,22,21,23,23,23,23,23,23,22,23,23,23,22,21,23,21,22,20,20,21,21,21,21,20,20,19,18,-6.0,-1.1,
Czechia,9,7,8,8,8,8,8,8,8,8,8,8,8,8,9,10,10,10,10,9,9,9,8,8,9,8,8,9,9,9,8,-11.4,0.3,
France,80,86,85,83,82,84,85,85,89,88,86,89,86,86,86,85,85,83,80,77,75,75,74,72,71,71,70,70,68,68,58,-14.4,-2.0,
Germany,119,127,128,130,128,128,130,129,129,124,121,123,118,116,114,112,112,99,105,100,101,98,98,100,97,97,97,99,93,95,87,-9.1,-1.6,
Italy,88,87,89,88,87,91,90,90,90,88,86,85,87,86,84,81,81,78,74,68,67,64,59,53,54,54,52,52,52,52,42,-19.1,-3.6,
Netherlands,21,21,21,21,22,23,23,23,23,23,23,23,24,26,26,26,26,26,25,24,25,24,25,23,23,23,24,25,25,23,23,-3.7,-0.1,
Poland,13,13,13,14,14,14,16,18,18,19,19,18,18,19,20,21,22,23,23,23,25,24,23,21,21,23,25,28,29,29,29,-2.6,2.2,
Portugal,11,11,12,12,12,13,12,13,15,15,15,15,16,14,14,15,13,13,13,12,11,10,9,9,9,9,9,9,9,9,8,-11.5,-2.9,
Romania,17,14,12,11,11,11,13,13,11,10,10,11,11,10,10,10,10,10,10,9,8,8,9,8,8,9,9,9,10,10,10,-0.1,-0.1,
Spain,44,46,48,45,49,52,51,53,57,59,61,63,64,65,67,68,66,67,63,59,57,54,49,47,45,48,49,50,51,50,41,-18.6,-1.9,
Sweden,15,15,16,16,17,16,18,16,17,16,15,15,15,15,14,14,14,13,13,12,12,12,11,11,10,10,10,10,9,9,8,-10.2,-3.1,
United Kingdom,73,74,74,74,73,72,74,72,70,70,68,67,67,68,69,69,68,66,64,60,60,57,57,55,55,57,59,59,58,57,48,-15.4,-1.7,
Norway,8,8,8,8,8,8,9,9,9,9,8,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,8,8,8,8,7,-7.5,-0.7,
Turkey,22,22,23,26,25,28,30,29,29,28,30,28,29,29,29,28,30,30,30,31,29,29,31,33,32,37,41,43,41,40,40,-0.5,1.4,
CIS,372,374,308,259,204,199,179,174,170,166,164,164,162,164,164,164,170,171,176,168,172,174,178,174,181,180,176,182,183,185,179,-3.2,0.4,
Kazakhstan,19,22,21,17,12,11,9,8,9,7,8,7,8,8,8,9,10,10,11,9,9,10,10,11,11,13,13,13,12,12,12,-1.2,2.4,
Russia,214,221,196,174,135,133,125,120,117,121,119,120,117,118,117,117,121,123,127,121,127,127,127,126,134,133,126,134,133,134,129,-3.4,0.4,
Ukraine,67,64,39,28,25,25,16,18,17,12,12,13,13,13,13,14,14,14,14,14,13,13,13,12,11,10,11,10,11,11,10,-1.6,-0.5,
Uzbekistan,11,10,8,7,6,7,6,7,7,7,7,7,7,6,6,5,5,5,4,4,4,4,3,4,4,3,4,4,4,4,4,-5.3,-2.6,
America,1023,1009,1029,1045,1082,1080,1120,1187,1224,1245,1243,1258,1216,1232,1278,1287,1277,1284,1230,1171,1215,1179,1179,1192,1194,1199,1197,1188,1200,1193,1051,-11.9,-0.8,
North America,809,789,804,814,837,832,860,911,939,959,953,969,933,956,988,989,973,966,906,854,880,832,822,830,833,849,853,850,871,869,763,-12.3,-1.1,
Canada,77,73,75,76,77,79,81,84,85,87,87,89,89,96,99,102,102,106,102,99,103,104,106,105,103,105,105,105,108,105,89,-15.4,0.1,
United States,732,716,729,738,759,753,779,827,854,872,866,880,844,860,888,887,871,860,804,755,777,729,715,725,731,744,747,745,763,764,674,-11.8,-1.2,
Latin America,214,220,226,231,246,248,260,276,285,286,290,289,283,277,290,298,304,318,324,317,335,347,357,362,361,350,345,338,329,323,288,-10.9,0.0,
Argentina,18,20,21,21,21,20,22,23,24,22,20,19,17,19,21,21,23,25,27,24,27,28,28,28,28,28,28,27,25,25,21,-13.9,0.2,
Brazil,57,58,60,62,66,70,75,81,85,87,88,88,85,82,85,87,88,92,95,94,104,109,116,120,124,115,110,111,104,105,100,-4.3,0.7,
Chile,6,7,7,8,8,9,10,10,11,11,10,9,10,10,11,11,11,15,15,14,14,14,14,15,14,14,15,15,16,15,14,-8.7,1.9,
Colombia,8,9,9,9,10,10,11,12,12,11,11,11,10,10,11,10,11,10,10,10,10,11,12,12,13,13,15,13,13,14,11,-16.9,0.3,
Mexico,69,74,74,77,84,77,78,81,85,84,88,87,83,83,86,88,88,91,90,87,88,90,89,88,85,84,86,84,83,77,64,-17.4,-1.6,
Venezuela,18,17,19,19,19,20,20,22,20,23,25,27,29,26,27,30,30,31,31,31,35,35,38,37,36,31,28,25,23,21,18,-14.0,-1.6,
Asia,599,626,660,696,724,777,802,835,819,861,883,883,907,935,998,998,1015,1049,1032,1044,1077,1115,1158,1190,1208,1258,1291,1335,1362,1396,1358,-2.7,2.2,
China,143,153,161,176,176,190,197,213,218,228,241,246,258,282,330,334,354,367,375,383,401,419,438,461,476,507,523,546,569,606,629,3.7,4.9,
India,56,58,61,63,68,76,81,85,89,97,108,106,110,114,118,120,129,140,146,146,151,156,166,168,176,194,205,216,223,229,206,-10.0,3.3,
Indonesia,30,32,33,37,37,43,45,48,47,51,51,53,53,54,60,59,57,58,60,60,60,71,76,75,76,71,68,74,79,76,73,-4.4,1.8,
Japan,221,223,226,225,234,238,238,236,231,237,233,227,229,227,225,222,213,209,192,186,186,188,190,186,175,172,168,165,157,152,139,-8.3,-2.5,
Malaysia,12,13,14,15,15,18,19,20,18,19,19,20,21,20,21,21,22,25,24,26,24,27,25,28,29,27,28,28,28,28,23,-19.1,0.9,
South Korea,48,58,69,76,81,88,91,97,79,87,90,89,90,90,88,88,87,89,84,87,89,89,92,92,93,98,102,103,100,100,94,-5.8,0.2,
Taiwan,25,26,26,28,30,32,32,32,33,35,36,38,38,40,41,41,41,43,41,40,42,38,38,39,41,42,42,41,41,38,37,-1.2,0.2,
Thailand,17,18,20,23,27,30,34,33,30,31,31,30,34,37,41,41,40,40,38,40,42,44,46,50,50,50,51,51,52,53,46,-13.3,2.0,
Pacific,36,36,36,36,38,39,40,41,41,42,43,43,43,46,47,47,48,48,50,48,50,53,54,56,56,55,56,57,58,58,56,-4.4,1.3,
Australia,31,31,30,31,32,33,34,34,35,35,36,36,36,38,39,39,40,40,41,41,42,45,46,48,47,46,47,47,48,48,47,-3.9,1.2,
New Zealand,4,4,4,4,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,6,-8.2,0.9,
Africa,82,83,86,85,83,88,91,96,97,100,100,104,108,109,117,121,123,129,139,145,152,152,163,172,179,179,179,180,187,184,164,-11.1,2.5,
Algeria,8,8,8,8,8,7,7,7,7,8,8,8,9,10,10,10,11,12,13,14,14,15,16,17,18,18,18,17,18,18,16,-13.0,3.4,
Egypt,21,20,20,20,18,19,20,22,24,24,23,22,23,22,27,27,28,29,31,33,34,34,36,36,38,39,38,35,34,35,31,-11.1,1.6,
Nigeria,7,9,10,9,7,8,9,10,9,9,10,12,12,12,12,12,10,9,11,9,12,13,14,17,19,17,18,18,24,18,18,-1.5,3.1,
South Africa,15,15,15,14,15,16,16,17,17,17,16,17,17,18,19,20,20,24,23,23,23,25,24,25,25,26,25,27,27,27,23,-16.2,1.7,
Middle-East,133,134,148,154,163,163,171,174,178,185,192,201,209,211,224,239,252,257,272,273,271,276,298,304,306,299,294,296,296,297,275,-7.2,1.8,
Iran,46,48,53,53,57,56,59,60,59,63,65,68,67,67,70,75,84,86,86,87,77,76,81,87,84,78,73,74,77,77,70,-8.9,0.4,
Kuwait,4,2,4,4,5,6,6,6,7,8,8,9,10,11,12,13,14,13,16,16,16,15,17,17,16,17,17,16,16,16,15,-5.8,3.2,
Saudi Arabia,34,36,39,41,42,41,45,45,48,50,52,55,60,63,68,70,75,78,84,81,84,89,96,99,107,115,113,111,106,107,102,-4.6,3.4,
United Arab Emirates,6,7,7,7,7,7,7,7,7,7,7,8,8,9,9,10,10,10,11,13,13,14,14,16,16,15,17,19,17,17,16,-8.2,3.9,
n.a. : non avalaible ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141 additional countries available in our Global Energy & CO2 Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source : Enerdata www.enerdata.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"© Copyright Enerdata www.enerdata.net. Reproduction and diffusion prohibited (web, photocopy, intranet...) without written permission.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
