,Refined oil products production (Mt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Back to list of tables
Globally/Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2019 - 2020 (%) ,2000 - 2020 (%/year) ,
World,3156,3173,3175,3207,3230,3268,3379,3477,3502,3519,3599,3633,3643,3724,3864,3905,3938,3955,3982,3877,3953,3948,4008,4027,4080,4169,4200,4281,4323,4306,3920,-9.0,0.4,
OECD,1830,1858,1909,1953,1984,1991,2046,2107,2132,2100,2123,2111,2094,2129,2167,2160,2152,2141,2117,1995,2019,1979,1976,1966,1971,2023,2022,2052,2052,2041,1776,-13.0,-0.9,
G7,1381,1387,1411,1446,1461,1457,1488,1522,1539,1517,1537,1528,1519,1544,1574,1569,1552,1548,1526,1428,1447,1403,1385,1376,1379,1408,1417,1434,1436,1428,1222,-14.4,-1.1,
BRICS,541,556,534,516,487,496,507,531,528,568,617,636,657,688,743,771,814,848,879,923,966,996,1046,1088,1132,1155,1173,1218,1252,1290,1258,-2.5,3.6,
Europe,702,698,702,717,724,722,744,757,779,739,746,747,742,755,771,769,770,760,756,702,696,686,682,656,651,686,681,700,686,677,591,-12.7,-1.2,
European Union,565,559,563,572,583,581,596,608,632,602,611,614,607,618,628,630,631,625,624,581,577,563,563,539,543,571,570,582,573,558,486,-12.9,-1.1,
Belgium,29,32,32,31,32,29,35,37,38,36,38,40,46,46,43,37,37,39,38,35,35,33,35,32,35,35,34,35,34,35,27,-21.7,-1.6,
Czechia,8,7,7,7,7,7,8,7,7,6,6,6,6,7,7,8,8,8,9,8,8,7,8,7,8,8,6,8,8,8,6,-21.7,0.2,
France,78,81,80,82,80,82,86,91,94,85,89,91,84,87,88,86,87,86,88,78,71,72,61,58,58,60,59,59,56,51,37,-28.0,-4.3,
Germany,106,104,112,116,119,114,115,111,117,115,116,114,114,116,120,123,121,118,116,108,101,100,101,98,97,99,100,102,97,96,92,-4.9,-1.2,
Italy,91,91,91,92,92,90,89,96,100,94,95,96,96,98,98,101,99,101,95,86,90,86,82,70,66,74,71,75,72,71,59,-16.1,-2.3,
Netherlands,49,53,55,55,55,59,61,60,62,58,59,58,54,56,58,59,58,56,56,55,58,57,57,55,57,59,60,60,61,62,55,-10.6,-0.3,
Poland,13,12,13,14,14,14,15,16,17,18,18,18,18,18,19,18,21,22,22,22,24,25,26,25,25,27,27,27,28,28,27,-6.1,1.9,
Portugal,11,10,12,11,14,13,12,13,14,13,12,13,12,13,13,14,14,13,13,11,12,11,12,14,13,15,15,15,14,13,12,-11.5,-0.3,
Romania,23,15,13,13,15,15,13,12,13,10,11,12,13,12,13,15,14,14,14,12,11,10,10,10,12,12,12,12,13,13,12,-11.9,0.3,
Spain,53,55,57,54,56,56,54,57,62,61,60,58,58,58,60,61,61,60,60,57,57,57,61,60,60,65,65,66,68,66,56,-14.8,-0.3,
Sweden,18,18,21,21,20,21,22,23,22,23,23,21,20,19,20,20,20,18,21,20,21,20,21,18,20,21,21,21,22,17,18,10.0,-1.0,
United Kingdom,89,92,93,97,94,94,98,98,94,88,88,84,85,85,91,87,84,82,82,76,74,76,73,66,62,62,61,61,59,59,49,-17.5,-2.9,
Norway,14,13,15,15,15,14,15,16,16,16,16,15,14,16,15,16,18,18,16,15,15,16,16,17,16,17,13,17,18,16,15,-9.6,-0.3,
Turkey,23,22,23,26,25,27,26,27,27,26,24,25,26,26,26,26,26,26,24,19,20,22,23,24,22,29,30,32,28,37,35,-5.0,2.0,
CIS,417,417,347,293,248,238,229,227,218,218,227,239,253,258,264,277,285,292,296,292,308,313,315,326,344,338,325,336,334,331,319,-3.7,1.7,
Kazakhstan,18,18,18,15,12,11,11,9,9,7,6,8,9,9,10,12,12,12,12,13,14,15,15,15,16,15,14,15,16,17,16,-6.9,4.7,
Russia,268,279,247,220,184,178,173,172,162,168,177,182,189,190,194,206,217,224,230,228,246,250,255,267,283,278,270,280,277,275,266,-3.4,2.1,
Ukraine,62,54,37,23,20,17,14,13,14,12,9,17,21,22,22,19,15,15,12,12,12,10,5,4,3,3,3,3,2,1,1,-7.0,-9.8,
Uzbekistan,8,8,6,6,6,7,7,7,7,7,7,7,7,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,-5.3,-3.6,
America,1108,1103,1108,1131,1145,1146,1183,1212,1237,1242,1267,1271,1257,1272,1315,1297,1301,1296,1295,1234,1249,1227,1227,1248,1265,1265,1257,1255,1260,1247,1096,-12.1,-0.7,
North America,840,831,839,856,863,866,891,911,923,926,943,942,937,956,977,968,966,962,957,900,932,901,899,913,934,951,962,980,1002,999,860,-14.0,-0.5,
Canada,85,83,82,84,85,85,89,91,91,93,95,97,100,105,107,103,101,103,99,96,98,94,97,95,91,90,92,96,94,102,91,-11.5,-0.2,
United States,755,748,757,772,778,781,802,819,832,834,849,844,837,851,870,865,865,859,857,805,834,807,803,818,843,860,870,883,908,897,769,-14.2,-0.5,
Latin America,268,272,270,275,282,280,292,301,314,316,323,330,320,316,338,329,335,334,339,334,317,326,328,335,331,314,295,275,258,247,236,-4.5,-1.6,
Argentina,24,24,25,25,23,23,25,27,28,27,27,27,25,27,27,27,29,30,30,28,28,27,28,28,27,28,27,27,25,26,22,-14.1,-0.9,
Brazil,61,59,61,61,65,64,69,75,80,83,85,88,86,87,93,93,94,96,96,97,98,100,105,112,115,108,101,98,95,95,98,2.8,0.7,
Chile,6,6,7,7,8,8,9,9,10,10,10,10,10,11,11,11,11,11,11,10,9,9,9,9,9,10,9,10,10,10,8,-20.6,-0.9,
Colombia,11,12,12,12,12,13,14,14,14,15,15,16,15,15,16,15,14,14,14,13,13,15,15,13,12,12,17,18,19,19,16,-14.6,0.4,
Mexico,72,74,74,77,80,76,75,75,76,73,72,73,74,77,78,76,76,74,73,74,69,67,68,70,67,61,55,48,39,38,38,-0.9,-3.1,
Venezuela,51,54,48,51,52,54,56,58,58,63,66,65,63,54,66,58,63,60,63,62,57,60,57,55,55,50,42,37,31,29,25,-12.5,-4.6,
Asia,564,600,638,667,689,731,771,815,804,839,883,884,889,934,1001,1031,1061,1093,1099,1122,1148,1177,1229,1243,1259,1310,1356,1405,1451,1479,1403,-5.2,2.3,
China,146,153,159,166,166,178,186,197,199,213,233,236,243,264,307,318,337,352,368,388,401,416,440,460,485,511,534,564,599,640,648,1.3,5.2,
India,52,52,54,55,57,60,64,67,70,87,105,110,114,124,129,131,148,159,165,191,202,211,226,230,229,237,248,257,262,261,232,-11.3,4.1,
Indonesia,39,40,42,42,43,46,49,48,48,49,50,51,49,50,50,48,47,46,48,50,47,48,46,44,48,47,48,48,50,51,52,3.2,0.2,
Japan,178,187,197,203,212,210,209,215,210,208,207,201,202,202,199,205,196,198,189,179,178,169,169,171,162,162,163,157,151,151,126,-16.7,-2.4,
Malaysia,10,10,10,11,14,18,19,17,18,19,22,23,22,23,23,23,24,27,27,26,23,26,27,25,24,25,26,28,26,27,22,-16.0,0.1,
South Korea,42,57,71,76,80,89,100,121,114,120,122,119,111,111,116,120,123,123,120,117,120,128,132,127,129,140,146,153,159,157,146,-7.3,0.9,
Taiwan,21,23,23,25,25,30,32,33,34,36,37,38,39,45,50,52,51,51,47,49,46,42,47,44,45,45,45,44,46,46,39,-15.9,0.2,
Thailand,12,13,15,18,22,24,33,38,35,38,38,39,42,45,49,49,50,50,50,53,54,54,57,61,59,63,63,64,65,59,55,-6.8,1.9,
Pacific,38,38,38,39,40,41,42,42,43,42,44,42,43,42,42,41,39,39,39,39,39,41,40,40,37,34,31,30,30,30,26,-13.7,-2.5,
Australia,33,33,33,34,35,36,37,37,38,37,38,37,37,37,37,35,32,33,33,33,33,34,33,33,31,27,24,23,23,23,21,-10.0,-3.0,
New Zealand,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,6,6,6,5,6,6,6,6,6,4,-28.8,-1.3,
Africa,108,110,110,110,109,113,117,126,116,122,117,132,135,129,127,137,126,127,130,124,130,118,117,119,119,113,111,110,111,112,105,-6.2,-0.5,
Algeria,25,25,25,25,24,25,24,26,26,28,29,30,30,30,27,27,27,28,31,31,34,33,30,31,39,38,38,37,39,37,34,-6.8,0.8,
Egypt,24,24,24,26,27,27,28,29,29,28,26,30,30,31,32,32,32,33,32,30,30,27,28,27,27,27,25,26,27,29,31,6.8,0.9,
Nigeria,13,14,13,12,8,9,11,10,7,9,5,11,11,6,6,10,6,3,5,3,5,6,5,5,3,2,3,4,3,1,0,-98.2,-25.6,
South Africa,13,13,12,13,14,16,15,21,16,17,17,21,24,22,20,24,19,18,20,19,19,19,19,20,20,21,20,19,19,19,15,-21.5,-0.8,
Middle-East,219,206,233,248,274,277,292,299,305,316,316,317,325,334,344,354,357,348,367,364,382,386,398,396,404,422,439,447,451,431,381,-11.6,0.9,
Iran,41,47,47,54,60,61,65,69,73,80,79,80,79,80,81,84,87,87,88,89,89,91,93,95,93,88,86,89,90,91,78,-14.1,-0.1,
Kuwait,13,3,17,24,39,43,41,46,44,47,39,34,38,44,44,45,47,48,47,45,46,46,48,46,46,47,44,39,39,36,33,-8.2,-0.8,
Saudi Arabia,90,85,89,90,92,89,100,97,98,96,100,100,99,107,115,119,118,115,120,116,118,117,122,117,133,145,157,158,156,140,123,-12.2,1.1,
United Arab Emirates,10,11,12,12,12,12,14,13,14,18,21,28,27,26,26,25,24,23,22,23,28,31,32,33,31,49,59,59,60,56,51,-8.2,4.5,
n.a. : non avalaible ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141 additional countries available in our Global Energy & CO2 Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source : Enerdata www.enerdata.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"© Copyright Enerdata www.enerdata.net. Reproduction and diffusion prohibited (web, photocopy, intranet...) without written permission.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
