,Share of wind and solar in electricity production (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Back to list of tables
Globally/Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2019 - 2020 (points) ,2000 - 2020 (points) ,
World,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.8,0.9,1.0,1.1,1.2,1.4,1.6,1.9,2.2,2.7,3.2,3.8,4.3,5.0,5.7,6.6,7.3,8.3,9.5,1.2,8.8,
OECD,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.9,0.9,1.1,1.2,1.4,1.6,1.8,2.1,2.5,3.0,3.4,4.3,5.0,5.9,6.7,7.6,8.3,9.6,10.2,11.5,13.4,1.9,12.6,
G7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,1.0,1.1,1.3,1.4,1.6,1.9,2.2,2.7,3.2,4.1,4.9,5.7,6.5,7.5,8.4,9.7,10.3,11.5,13.2,1.7,12.4,
BRICS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.5,0.8,1.0,1.3,1.8,2.4,2.7,3.3,4.4,5.6,6.6,7.4,8.5,1.0,8.4,
Europe,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.9,1.0,1.3,1.5,2.0,2.4,2.6,3.2,3.7,4.4,5.0,6.6,7.9,9.2,10.2,11.7,11.9,13.6,14.5,16.5,19.1,2.6,18.2,
European Union,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.7,1.0,1.2,1.5,1.9,2.4,2.9,3.1,3.8,4.4,5.2,5.8,7.6,9.1,10.4,11.4,12.9,12.9,14.6,15.1,17.2,19.9,2.7,18.9,
Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.4,0.6,0.8,1.3,1.9,3.9,5.9,7.6,10.3,12.4,10.0,11.3,15.1,14.3,20.0,5.7,20.0,
Czechia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.5,1.2,3.0,3.0,3.0,3.1,3.5,3.2,3.3,3.5,3.6,3.7,0.2,3.7,
France,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.5,0.9,1.1,1.6,2.0,2.8,3.6,3.9,4.4,5.3,5.5,6.3,6.9,8.4,10.3,1.9,10.2,
Germany,0.0,0.0,0.1,0.1,0.3,0.3,0.4,0.6,0.8,1.0,1.6,1.8,2.7,3.5,4.6,5.1,5.8,7.1,7.5,8.0,8.3,11.7,12.7,13.4,15.4,18.7,18.5,22.5,24.5,28.1,32.1,4.0,30.5,
Italy,1.5,1.4,1.7,1.8,1.6,1.6,1.7,1.9,2.0,2.1,2.2,2.3,2.4,2.6,2.7,2.9,3.0,3.4,3.6,4.5,5.7,9.0,12.9,14.8,15.7,15.7,16.2,16.6,16.2,17.3,18.3,1.0,16.1,
Netherlands,0.3,0.3,0.5,0.5,0.6,0.7,0.8,0.8,0.9,1.0,1.2,1.2,1.2,1.6,2.1,2.4,3.0,3.5,4.1,4.2,3.5,4.7,5.2,6.1,6.5,8.0,8.6,11.0,12.5,13.8,18.9,5.1,17.7,
Poland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0.3,0.4,0.5,0.7,1.1,2.0,2.9,3.7,4.8,6.6,7.6,8.8,7.7,9.7,11.2,1.5,11.2,
Portugal,0.0,0.0,0.0,0.1,0.2,0.2,0.2,0.3,0.4,0.5,0.6,0.8,1.0,1.3,2.0,4.0,6.1,9.0,13.0,15.8,17.7,18.4,23.2,24.6,24.5,24.0,22.4,22.6,23.2,28.9,26.8,-2.1,26.2,
Romania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.2,4.5,8.4,11.9,13.6,12.9,14.4,12.5,14.3,15.5,1.2,15.5,
Spain,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.4,0.7,1.3,2.1,2.9,3.8,4.6,6.7,8.9,7.9,9.3,11.4,15.1,17.1,17.9,20.7,24.1,23.6,22.6,22.8,23.1,23.2,25.8,29.1,3.3,27.0,
Sweden,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.5,0.6,0.6,0.7,1.0,1.3,1.8,2.4,4.1,4.3,6.4,7.3,10.1,10.0,10.9,10.4,12.1,17.3,5.2,17.0,
United Kingdom,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.5,0.7,1.1,1.3,1.8,2.5,2.7,4.4,5.8,8.5,10.7,14.1,14.0,18.0,20.9,23.8,28.3,4.5,28.0,
Norway,0.1,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.2,0.3,0.4,0.6,0.7,0.7,0.7,0.7,1.0,1.0,1.4,1.6,1.7,1.4,1.9,2.6,4.1,6.4,2.3,6.4,
Turkey,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.3,0.5,1.0,1.7,2.4,2.9,3.8,4.5,6.0,8.1,9.3,11.9,13.5,15.1,1.6,15.0,
CIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.5,0.8,0.3,0.8,
Kazakhstan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.4,0.5,0.8,1.7,2.5,0.9,2.5,
Russia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.2,0.3,
