Entity,Code,Year,Value
World,7271,1961,0.207
World,7271,1962,0.037
World,7271,1963,0.167
World,7271,1964,-0.252
World,7271,1965,-0.225
World,7271,1966,0.201
World,7271,1967,-0.116
World,7271,1968,-0.122
World,7271,1969,-0.091
World,7271,1970,0.153
World,7271,1971,-0.089
World,7271,1972,-0.193
World,7271,1973,0.271
World,7271,1974,-0.179
World,7271,1975,0.091
World,7271,1976,-0.31
World,7271,1977,0.273
World,7271,1978,0.006
World,7271,1979,0.227
World,7271,1980,0.335
World,7271,1981,0.443
World,7271,1982,0.084
World,7271,1983,0.459
World,7271,1984,0.124
World,7271,1985,-0.03
World,7271,1986,0.242
World,7271,1987,0.4
World,7271,1988,0.56
World,7271,1989,0.335
World,7271,1990,0.645
World,7271,1991,0.47
World,7271,1992,0.187
World,7271,1993,0.352
World,7271,1994,0.51
World,7271,1995,0.839
World,7271,1996,0.367
World,7271,1997,0.66
World,7271,1998,0.996
World,7271,1999,0.787
World,7271,2000,0.732
World,7271,2001,0.833
World,7271,2002,1.018
World,7271,2003,0.89
World,7271,2004,0.908
World,7271,2005,1.09
World,7271,2006,0.982
World,7271,2007,1.181
World,7271,2008,0.92
World,7271,2009,0.944
World,7271,2010,1.205
World,7271,2011,0.907
World,7271,2012,1.058
World,7271,2013,1.007
World,7271,2014,1.042
World,7271,2015,1.406
World,7271,2016,1.658
World,7271,2017,1.424
World,7271,2018,1.284
World,7271,2019,1.449
World,7271,2020,1.713
World,7271,2021,1.442
Africa,7271,1961,-0.029
Africa,7271,1962,-0.04
Africa,7271,1963,0.07
Africa,7271,1964,-0.15
Africa,7271,1965,-0.197
Africa,7271,1966,0.144
Africa,7271,1967,-0.207
Africa,7271,1968,-0.22
Africa,7271,1969,0.357
Africa,7271,1970,0.222
Africa,7271,1971,-0.198
Africa,7271,1972,0.003
Africa,7271,1973,0.374
Africa,7271,1974,-0.227
Africa,7271,1975,-0.215
Africa,7271,1976,-0.238
Africa,7271,1977,0.248
Africa,7271,1978,0.098
Africa,7271,1979,0.453
Africa,7271,1980,0.386
Africa,7271,1981,0.135
Africa,7271,1982,0.257
Africa,7271,1983,0.455
Africa,7271,1984,0.368
Africa,7271,1985,0.328
Africa,7271,1986,0.321
Africa,7271,1987,0.72
Africa,7271,1988,0.658
Africa,7271,1989,0.036
Africa,7271,1990,0.604
Africa,7271,1991,0.423
Africa,7271,1992,0.137
Africa,7271,1993,0.421
Africa,7271,1994,0.44
Africa,7271,1995,0.598
Africa,7271,1996,0.579
Africa,7271,1997,0.582
Africa,7271,1998,0.977
Africa,7271,1999,0.671
Africa,7271,2000,0.498
Africa,7271,2001,0.696
Africa,7271,2002,0.927
Africa,7271,2003,1.035
Africa,7271,2004,0.858
Africa,7271,2005,1.092
Africa,7271,2006,0.903
Africa,7271,2007,0.792
Africa,7271,2008,0.726
Africa,7271,2009,0.971
Africa,7271,2010,1.502
Africa,7271,2011,0.938
Africa,7271,2012,0.762
Africa,7271,2013,1.017
Africa,7271,2014,1.019
Africa,7271,2015,1.208
Africa,7271,2016,1.433
Africa,7271,2017,1.202
Africa,7271,2018,1.202
Africa,7271,2019,1.348
Africa,7271,2020,1.268
Africa,7271,2021,1.433
Northern America,7271,1961,0.022
Northern America,7271,1962,-0.056
Northern America,7271,1963,0.373
Northern America,7271,1964,-0.284
Northern America,7271,1965,-0.593
Northern America,7271,1966,-0.185
Northern America,7271,1967,-0.197
Northern America,7271,1968,0.197
