,Entity,Code,Year,Electricity from coal (TWh),Electricity from gas (TWh),Electricity from nuclear (TWh),Electricity from hydro (TWh),Electricity from solar (TWh),Electricity from oil (TWh),Electricity from wind (TWh),Electricity from bioenergy (TWh),Other renewables excluding bioenergy (TWh),Geo Biomass Other - TWh (zero filled),Biofuels Consumption - TWh - Total (zero filled),Solar Consumption - TWh (zero filled),Wind Consumption - TWh (zero filled),Hydro Consumption - TWh (zero filled),Nuclear Consumption - TWh (zero filled),Gas Consumption - TWh (zero filled),Coal Consumption - TWh (zero filled),Oil Consumption - TWh (zero filled),Annual CO2 emissions,Value
0,Africa,,1965,,,,,,,,,,0.0,0.0,0.0,0.0,41.118813,0.0,9.543755,323.49612,341.26276,213784600.0,
1,Africa,,1966,,,,,,,,,,0.0,0.0,0.0,0.0,45.862915,0.0,10.669916,323.1222,369.48657,221261600.0,
2,Africa,,1967,,,,,,,,,,0.0,0.0,0.0,0.0,47.875538,0.0,10.54567,330.29156,368.12524,237257680.0,
3,Africa,,1968,,,,,,,,,,0.0,0.0,0.0,0.0,56.000473,0.0,10.68897,343.5129,389.19986,257600220.0,
4,Africa,,1969,,,,,,,,,,0.0,0.0,0.0,0.0,65.3521,0.0,12.492,346.64294,396.92285,278139500.0,
5,Africa,,1970,,,,,,,,,,0.0,0.0,0.0,0.0,81.70288,0.0,15.520325,360.7569,433.7723,302942700.0,
6,Africa,,1971,,,,,,,,,,0.164,0.0,0.0,0.0,76.92132,0.0,18.405264,383.01233,473.56543,332203940.0,
7,Africa,,1972,,,,,,,,,,0.165,0.0,0.0,0.0,87.62504,0.0,24.670656,384.21082,510.67264,352238850.0,
8,Africa,,1973,,,,,,,,,,0.17,0.0,0.0,0.0,92.68892,0.0,39.551792,408.91034,549.7197,378421020.0,
9,Africa,,1974,,,,,,,,,,0.175,0.0,0.0,0.0,105.467155,0.0,44.518486,425.6462,567.7997,388864800.0,
10,Africa,,1975,,,,,,,,,,0.172,0.0,0.0,0.0,111.53163,0.0,53.63838,451.0805,596.40466,387828830.0,
11,Africa,,1976,,,,,,,,,,0.185,0.0,0.0,0.0,123.59515,0.0,60.98139,481.07416,652.58044,420856770.0,
12,Africa,,1977,,,,,,,,,,0.189,0.0,0.0,0.0,135.81087,0.0,68.23419,491.69846,695.1663,433844580.0,
